group,time,at_risk,events,censored,survival
0,1,216,3,2,0.9861111111111112
0,2,211,0,1,0.9861111111111112
0,4,210,1,0,0.981415343915344
0,7,209,2,0,0.9720238095238096
0,9,207,0,1,0.9720238095238096
0,11,206,2,0,0.9625866851595007
0,14,204,0,1,0.9625866851595007
0,18,203,0,2,0.9625866851595007
0,20,201,0,1,0.9625866851595007
0,21,200,1,1,0.9577737517337033
0,29,198,1,2,0.952936510563331
0,30,195,0,1,0.952936510563331
0,31,194,0,1,0.952936510563331
0,32,193,1,1,0.9479990156899458
0,36,191,1,0,0.9430356700580613
0,37,190,0,2,0.9430356700580613
0,38,188,1,1,0.9380195228769014
0,41,186,0,2,0.9380195228769014
0,42,184,2,0,0.9278236584978046
0,44,182,1,0,0.9227257263082562
0,45,181,0,1,0.9227257263082562
0,48,180,0,1,0.9227257263082562
0,50,179,1,0,0.9175708339825117
0,52,178,1,0,0.9124159416567672
0,56,177,0,1,0.9124159416567672
0,57,176,1,0,0.907231760170081
0,60,175,0,1,0.907231760170081
0,61,174,1,0,0.9020177845369196
0,62,173,2,1,0.8915898332705968
0,63,170,1,0,0.8863451871925345
0,64,169,1,0,0.8811005411144721
0,65,168,2,0,0.8706112489583475
0,66,166,0,1,0.8706112489583475
0,68,165,1,0,0.8653348171464788
0,69,164,1,0,0.86005838533461
0,71,163,1,1,0.8547819535227412
0,73,161,0,1,0.8547819535227412
0,74,160,1,0,0.8494395663132241
0,80,159,1,0,0.844097179103707
0,81,158,1,0,0.8387547918941898
0,84,157,1,1,0.8334124046846726
0,85,155,2,0,0.8226586962371284
0,86,153,0,1,0.8226586962371284
0,87,152,2,1,0.8118342397076924
0,88,149,1,0,0.8063856877633455
0,89,148,1,0,0.8009371358189985
0,90,147,0,1,0.8009371358189985
0,91,146,1,0,0.7954512650257177
0,93,145,0,1,0.7954512650257177
0,96,144,0,1,0.7954512650257177
0,98,143,1,0,0.7898886687667966
0,100,142,0,1,0.7898886687667966
0,103,141,1,0,0.7842866214705783
0,104,140,1,1,0.7786845741743599
0,105,138,1,0,0.7730419323325166
0,106,137,0,3,0.7730419323325166
0,108,134,2,0,0.7615039930439715
0,112,132,1,1,0.755735023399699
0,113,130,2,0,0.7441083307320113
0,116,128,1,0,0.7382949843981674
0,117,127,0,1,0.7382949843981674
0,118,126,0,1,0.7382949843981674
0,120,125,1,0,0.732388624522982
0,123,124,1,0,0.7264822646477967
0,125,123,1,1,0.7205759047726114
0,126,121,0,2,0.7205759047726114
0,127,119,1,0,0.7145206450686399
0,128,118,1,0,0.7084653853646684
0,132,117,1,0,0.7024101256606969
0,135,116,0,1,0.7024101256606969
0,139,115,1,0,0.696302211524517
0,141,114,0,1,0.696302211524517
0,143,113,1,0,0.6901402450508487
0,144,112,1,0,0.6839782785771804
0,150,111,2,0,0.6716543456298438
0,152,109,0,1,0.6716543456298438
0,154,108,2,0,0.6592163021922541
0,159,106,0,1,0.6592163021922541
0,161,105,1,0,0.652938051695185
0,165,104,1,0,0.646659801198116
0,167,103,1,1,0.6403815507010469
0,171,101,1,0,0.6340411393079671
0,177,100,2,0,0.6213603165218078
0,179,98,1,0,0.6150199051287281
0,180,97,0,1,0.6150199051287281
0,181,96,1,1,0.6086134477836371
0,185,94,1,0,0.6021388366370027
0,188,93,1,0,0.5956642254903683
0,189,92,0,1,0.5956642254903683
0,191,91,0,1,0.5956642254903683
0,194,90,0,1,0.5956642254903683
0,196,89,1,0,0.5889713690241845
0,198,88,1,0,0.5822785125580006
0,199,87,1,0,0.5755856560918167
0,205,86,1,0,0.5688927996256328
0,210,85,1,0,0.5621999431594489
0,211,84,0,1,0.5621999431594489
0,212,83,2,0,0.5486529565772935
0,216,81,1,1,0.5418794632862158
0,220,79,1,0,0.5350202295737321
0,224,78,0,1,0.5350202295737321
0,226,77,1,0,0.5280719149039433
0,230,76,0,1,0.5280719149039433
0,240,75,0,1,0.5280719149039433
0,241,74,1,0,0.520935807945782
0,246,73,1,0,0.5137997009876205
0,249,72,0,2,0.5137997009876205
0,250,70,0,1,0.5137997009876205
0,256,69,1,0,0.5063533285095391
0,262,68,1,0,0.4989069560314576
0,263,67,0,1,0.4989069560314576
0,277,66,1,0,0.4913477597279507
0,282,65,0,1,0.4913477597279507
0,283,64,1,0,0.48367045098220146
0,286,63,1,0,0.4759931422364523
0,291,62,0,1,0.4759931422364523
0,292,61,1,0,0.46818997597028095
0,293,60,1,0,0.46038680970410956
0,303,59,1,0,0.4525836434379382
0,314,58,1,0,0.44478047717176683
0,316,57,0,1,0.44478047717176683
0,322,56,2,0,0.428895460129918
0,328,54,1,0,0.42095295160899365
0,331,53,0,1,0.42095295160899365
0,332,52,1,1,0.4128577025395899
0,346,50,0,1,0.4128577025395899
0,349,49,0,1,0.4128577025395899
0,350,48,0,1,0.4128577025395899
0,351,47,0,1,0.4128577025395899
0,354,46,0,1,0.4128577025395899
0,359,45,0,1,0.4128577025395899
0,367,44,0,1,0.4128577025395899
0,370,43,0,1,0.4128577025395899
0,388,42,0,1,0.4128577025395899
0,391,41,0,1,0.4128577025395899
0,404,40,0,1,0.4128577025395899
0,407,39,0,1,0.4128577025395899
0,414,38,0,1,0.4128577025395899
0,416,37,0,1,0.4128577025395899
0,437,36,0,1,0.4128577025395899
0,447,35,0,1,0.4128577025395899
0,454,34,0,1,0.4128577025395899
0,455,33,0,1,0.4128577025395899
0,471,32,0,1,0.4128577025395899
0,482,31,0,1,0.4128577025395899
0,489,30,0,1,0.4128577025395899
0,490,29,0,1,0.4128577025395899
0,499,28,0,1,0.4128577025395899
0,517,27,0,1,0.4128577025395899
0,523,26,0,1,0.4128577025395899
0,532,25,0,1,0.4128577025395899
0,537,24,0,1,0.4128577025395899
0,538,23,0,1,0.4128577025395899
0,539,22,0,1,0.4128577025395899
0,545,21,0,1,0.4128577025395899
0,574,20,0,1,0.4128577025395899
0,577,19,0,1,0.4128577025395899
0,591,18,0,1,0.4128577025395899
0,597,17,0,1,0.4128577025395899
0,645,16,0,1,0.4128577025395899
0,659,15,0,1,0.4128577025395899
0,660,14,0,1,0.4128577025395899
0,672,13,0,1,0.4128577025395899
0,675,12,0,1,0.4128577025395899
0,686,11,0,1,0.4128577025395899
0,688,10,0,1,0.4128577025395899
0,690,9,0,1,0.4128577025395899
0,720,8,0,1,0.4128577025395899
0,729,7,0,1,0.4128577025395899
0,745,6,0,1,0.4128577025395899
0,804,5,0,1,0.4128577025395899
0,892,4,0,1,0.4128577025395899
0,896,3,0,1,0.4128577025395899
0,1077,2,0,1,0.4128577025395899
0,1252,1,0,1,0.4128577025395899
1,2,144,2,1,0.9861111111111112
1,6,141,0,1,0.9861111111111112
1,7,140,1,1,0.9790674603174604
1,10,138,1,0,0.9719727685760294
1,11,137,1,0,0.9648780768345986
1,14,136,0,1,0.9648780768345986
1,18,135,0,2,0.9648780768345986
1,19,133,1,0,0.9576233544523836
1,20,132,1,0,0.9503686320701685
1,21,131,0,1,0.9503686320701685
1,22,130,0,2,0.9503686320701685
1,24,128,1,0,0.9429438771321204
1,25,127,0,1,0.9429438771321204
1,28,126,0,1,0.9429438771321204
1,31,125,0,1,0.9429438771321204
1,32,124,1,1,0.9353394910262162
1,34,122,1,0,0.927672773886657
1,36,121,1,1,0.9200060567470979
1,40,119,0,1,0.9200060567470979
1,41,118,2,0,0.9044127337513844
1,42,116,0,1,0.9044127337513844
1,44,115,1,0,0.8965482751970246
1,47,114,0,1,0.8965482751970246
1,49,113,1,0,0.8886142196643075
1,50,112,1,1,0.8806801641315906
1,52,110,1,0,0.8726739808213034
1,53,109,1,1,0.8646677975110163
