group,time,at_risk,target_events,all_events,cumulative_incidence,survival_free_of_any_event
0,1,216,3,4,0.013888888888888888,0.9814814814814815
0,2,211,0,1,0.013888888888888888,0.9768299104791995
0,4,210,1,1,0.018540459891170792,0.9721783394769177
0,7,209,2,2,0.0278436018957346,0.9628751974723538
0,11,206,2,2,0.037191904783815705,0.9535268945842728
0,21,200,1,1,0.041959539256737066,0.9487592601113514
0,29,198,1,1,0.04675125269164288,0.9439675466764456
0,32,193,1,2,0.05164227624955193,0.9341854995606275
0,36,191,1,1,0.056533299807460975,0.9292944760027184
0,37,190,0,1,0.056533299807460975,0.9244034524448094
0,38,188,1,2,0.061450339448124856,0.9145693731634816
0,41,186,0,2,0.061450339448124856,0.9047352938821539
0,42,184,2,2,0.07128441872945261,0.8949012146008261
0,44,182,1,1,0.07620145837011649,0.8899841749601622
0,50,179,1,1,0.08117343700117885,0.8850121963290999
0,52,178,1,1,0.0861454156322412,0.8800402176980375
0,57,176,1,1,0.09114564414188915,0.8750399891883895
0,61,174,1,1,0.09617460959699484,0.8700110237332838
0,62,173,2,2,0.10623254050720621,0.8599530928230724
0,63,170,1,1,0.11129108811204781,0.8548945452182308
0,64,169,1,1,0.11634963571688942,0.8498359976133892
0,65,168,2,2,0.12646673092657262,0.8397189024037061
0,68,165,1,1,0.131555936395686,0.8346296969345927
0,69,164,1,1,0.13664514186479937,0.8295404914654793
0,71,163,1,1,0.14173434733391274,0.824451285996366
0,74,160,1,1,0.14688716787139003,0.8192984654588887
0,80,159,1,1,0.15203998840886732,0.8141456449214115
0,81,158,1,1,0.1571928089463446,0.8089928243839342
0,84,157,1,2,0.1623456294838219,0.7986871833089796
0,85,155,2,2,0.17265127055877647,0.788381542234025
0,87,152,2,2,0.183024711903961,0.7780081008888404
0,88,149,1,1,0.1882462427824096,0.7727865700103919
0,89,148,1,1,0.19346777366085818,0.7675650391319432
0,91,146,1,1,0.19872506844943313,0.7623077443433682
0,98,143,1,1,0.2040558918364497,0.7569769209563517
0,103,141,1,1,0.2094245224815302,0.7516082903112712
0,104,140,1,1,0.2147931531266107,0.7462396596661907
0,105,138,1,1,0.22020068689230773,0.7408321259004936
0,108,134,2,2,0.23125788280127033,0.729774929991531
0,112,132,1,1,0.23678648075575162,0.7242463320370498
0,113,130,2,2,0.2479287320178601,0.7131040807749414
0,116,128,1,1,0.2534998576489143,0.7075329551438871
0,120,125,1,1,0.2591601212900654,0.701872691502736
0,123,124,1,1,0.26482038493121646,0.6962124278615849
0,125,123,1,2,0.27048064857236753,0.6848919005792827
0,126,121,0,1,0.27048064857236753,0.6792316369381316
0,127,119,1,1,0.27618847745420055,0.6735238080562986
0,128,118,1,1,0.2818963063360336,0.6678159791744656
0,132,117,1,1,0.2876041352178666,0.6621081502926326
0,139,115,1,1,0.29336159739432427,0.6563506881161749
0,143,113,1,1,0.29917001056349396,0.6505422749470052
0,144,112,1,1,0.30497842373266365,0.6447338617778355
0,150,111,2,2,0.31659525007100303,0.6331170354394962
0,154,108,2,2,0.3283196396161789,0.6213926458943203
0,161,105,1,1,0.3342376648151724,0.6154746206953268
0,165,104,1,1,0.34015569001416596,0.6095565954963332
0,167,103,1,1,0.3460737152131595,0.6036385702973397
0,171,101,1,1,0.35205033472105396,0.5976619507894453
0,177,100,2,2,0.3640035737368429,0.5857087117736564
0,179,98,1,1,0.36998019324473735,0.579732092265762
0,181,96,1,1,0.37601906920583905,0.5736932163046603
0,185,94,1,1,0.38212218852822905,0.5675900969822704
0,188,93,1,1,0.38822530785061904,0.5614869776598803
0,191,91,0,1,0.38822530785061904,0.5553167910921893
0,194,90,0,1,0.38822530785061904,0.5491466045244984
0,196,89,1,1,0.39439549441831,0.5429764179568074
0,198,88,1,1,0.400565680986001,0.5368062313891164
0,199,87,1,1,0.40673586755369195,0.5306360448214255
0,205,86,1,1,0.4129060541213829,0.5244658582537345
0,210,85,1,1,0.4190762406890739,0.5182956716860435
0,212,83,2,2,0.4315652930188581,0.5058066193562594
0,216,81,1,1,0.43780981918375017,0.49956209319136724
0,220,79,1,1,0.4441333899836409,0.49323852239147653
0,224,78,0,1,0.4441333899836409,0.4869149515915858
0,226,77,1,1,0.4504569607835316,0.4805913807916951
0,230,76,0,1,0.4504569607835316,0.47426780999180435
0,241,74,1,1,0.4568659852428803,0.46785878553245563
0,246,73,1,1,0.463275009702229,0.4614497610731069
0,256,69,1,1,0.4699626873989407,0.45476208337639523
0,262,68,1,1,0.4766503650956524,0.44807440567968354
0,277,66,1,1,0.4834393712423143,0.44128539953302165
0,283,64,1,1,0.49033445561001776,0.4343903151653182
0,286,63,1,1,0.49722953997772124,0.42749523079761476
0,292,61,1,1,0.504237658515387,0.42048711225994895
0,293,60,1,1,0.5112457770530529,0.4134789937222831
0,303,59,1,1,0.5182538955907187,0.4064708751846173
0,314,58,1,1,0.5252620141283845,0.39946275664695147
0,322,56,2,2,0.5395285411514898,0.3851962296238461
0,328,54,1,1,0.5466618046630426,0.3780629661122934
0,332,52,1,1,0.5539322463190482,0.37079252445628774
0,351,47,0,1,0.5539322463190482,0.3629033218082816
0,447,35,0,1,0.5539322463190482,0.3525346554709021
0,454,34,0,1,0.5539322463190482,0.34216598913352264
0,455,33,0,1,0.5539322463190482,0.33179732279614316
0,645,16,0,1,0.5539322463190482,0.3110599901213842
0,729,7,0,1,0.5539322463190482,0.2666228486754722
1,2,144,2,2,0.013888888888888888,0.9861111111111112
1,7,140,1,2,0.02093253968253968,0.9720238095238096
1,10,138,1,1,0.027976190476190474,0.9649801587301587
1,11,137,1,1,0.03501984126984127,0.957936507936508
1,19,133,1,1,0.04222237140470223,0.9507339778016469
