pair_id,treated_row,control_row,treated_propensity,control_propensity,distance
1,79697,45279,0.002647865548998187,0.0026481980919082293,3.3254291004246664e-07
2,76006,11658,0.002795950855263401,0.0027968457837975907,8.949285341896228e-07
3,46660,49495,0.003084741967205342,0.003084714986188399,2.698101694321997e-08
4,34829,69107,0.0037119185551054527,0.003712256268344241,3.3771323878833623e-07
5,1796,76942,0.0042312526964057694,0.004230978725862469,2.7397054330052795e-07
6,67173,73642,0.004312588992080946,0.004313211853698918,6.228616179718843e-07
7,71805,67929,0.004992314703534693,0.0049924676970083785,1.5299347368592092e-07
8,70635,80363,0.005477048981160429,0.0054771256063343,7.662517387090062e-08
9,18135,58796,0.005493624315317378,0.005493862053460842,2.3773814346404049e-07
10,2453,10801,0.005760517133679173,0.005760495044002803,2.2089676370191935e-08
11,55593,21897,0.005861937323285703,0.0058620191951501465,8.187186444335443e-08
12,37832,41036,0.006216514019432911,0.006215764306836869,7.497125960424789e-07
13,62618,65857,0.006350210429206852,0.0063505262470682595,3.158178614078022e-07
14,73780,50285,0.007733340818695052,0.0077333486815921865,7.862897134607028e-09
15,52706,7288,0.00828796425589983,0.008287654648195832,3.096077039969197e-07
16,70644,65365,0.008299015025943535,0.008298660367429185,3.546585143499731e-07
17,32003,78888,0.00833487344624615,0.008334878359746552,4.913500401687587e-09
18,24844,4216,0.008721281328298157,0.00872121915777165,6.217052650643595e-08
19,57357,73738,0.008759836784380198,0.008759960213059732,1.2342867953402115e-07
20,39602,57679,0.009260863405955963,0.009260148507431192,7.148985247708295e-07
21,49569,43349,0.00932680495743341,0.009327468889581919,6.639321485091276e-07
22,13214,23497,0.009668675025091571,0.009668350448769047,3.2457632252388957e-07
23,47393,37774,0.009908686393732977,0.009909857965887912,1.1715721549357405e-06
24,52377,25282,0.01002800595264555,0.010027017979724166,9.879729213849858e-07
25,59825,77933,0.01013746401428073,0.010133896794241528,3.5672200392015962e-06
26,77982,79160,0.010809559949923036,0.010809563468269456,3.5183464197618974e-09
27,54496,15113,0.010902241853485858,0.010901173902026882,1.0679514589762712e-06
28,24178,58883,0.011185415720125358,0.011185415376322436,3.4380292189550854e-10
29,64225,19646,0.01147071157148304,0.011470974266099254,2.6269461621437895e-07
30,55976,29979,0.011562662363048478,0.01156333100242374,6.686393752616121e-07
31,39265,57502,0.012043035970224417,0.012045169783621999,2.133813397581577e-06
32,29613,14158,0.012122945922787383,0.01212318377953388,2.3785674649681732e-07
33,6469,17245,0.012453845299941374,0.01245327099457866,5.743053627139949e-07
34,78344,21418,0.01308506283320965,0.01308512420401495,6.137080530051187e-08
35,24897,66503,0.013294962469616362,0.01329511914369662,1.5667408025804574e-07
36,72438,23168,0.013857283031863347,0.013856296828347778,9.86203515568676e-07
37,20522,46721,0.013878805890910334,0.013878830822259148,2.49313488135533e-08
38,26054,59383,0.014163345927606144,0.014163664724237022,3.1879663087847065e-07
39,11316,3273,0.014405118711433264,0.014405478911579592,3.6020014632792696e-07
40,24408,50870,0.014407671456060428,0.014406078354109564,1.593101950863804e-06
41,36918,79912,0.0145766078216205,0.014576586676089241,2.1145531258273675e-08
42,49250,51543,0.014726958819829748,0.014728802262535378,1.8434427056304714e-06
43,63717,42194,0.014860042136333488,0.01485912335179119,9.187845422982399e-07
