model,term,oddsRatio,ci95,pValue,scale,percentChangeInLos,ci95PercentChange
mortality,dialysis_present,1.4026281231358235,"[1.2179901571039737, 1.6152557886751289]",2.6229172090360815e-06,per unit,,
mortality,admission_age,1.0577696900070548,"[1.0107035978280516, 1.107027539529915]",0.015587934732747579,per 1 SD,,
mortality,male,0.9616898289893627,"[0.8962164575037646, 1.0319463779515619]",0.2775492916534775,per unit,,
mortality,apsiii,1.821618946206144,"[1.7275692256864097, 1.9207887798873788]",6.146445543380312e-109,per 1 SD,,
mortality,oasis,1.2514818620855652,"[1.191711831375399, 1.3142496448336305]",2.601050651278918e-19,per 1 SD,,
mortality,sofa,1.5074337618832105,"[1.4347311251927506, 1.5838204849428397]",1.5387803571543854e-59,per 1 SD,,
mortality,charlson_comorbidity_index,1.3376416581279953,"[1.2831128401846699, 1.3944878030383459]",1.0192528026123597e-42,per 1 SD,,
mortality,hemoglobin_min,1.0613032687559585,"[1.023749791789658, 1.1002342928959616]",0.0012080851645794419,per 1 SD,,
mortality,wbc_max,1.071450223198467,"[1.039206673935454, 1.104694195664248]",9.563856052787301e-06,per 1 SD,,
mortality,creatinine_max,0.6980150260229927,"[0.6567905033293425, 0.7418270728399431]",5.515545353530678e-31,per 1 SD,,
mortality,bun_max,1.1459092096802066,"[1.0950556962155342, 1.199124319765616]",4.08515766862685e-09,per 1 SD,,
mortality,glucose_max,0.8823159134783024,"[0.847959807649261, 0.9180639980274301]",6.464710559830045e-10,per 1 SD,,
los,dialysis_present,,,2.6583642239829643e-08,per unit,14.50154671299002,"[9.16646264623855, 20.09736215556286]"
los,admission_age,,,3.9301732081024785e-68,per 1 SD,-9.544694776345509,"[-10.55858921059053, -8.519306986676856]"
los,male,,,0.00012932145678095397,per unit,3.5340663368943925,"[1.7091479783777341, 5.391728328421941]"
los,apsiii,,,1.1329531205822653e-20,per 1 SD,-7.220511642313854,"[-8.670874179874144, -5.747116458032508]"
los,oasis,,,2.0686266491853155e-211,per 1 SD,23.073647134878716,"[21.47029412094883, 24.698163684353514]"
los,sofa,,,1.1502047486008155e-74,per 1 SD,13.92787355762728,"[12.34632203377073, 15.531689319220622]"
los,charlson_comorbidity_index,,,0.0006829729207472122,per 1 SD,1.8824503131497305,"[0.7918367534172077, 2.9848648081066242]"
los,hemoglobin_min,,,0.0011119259420743952,per 1 SD,1.5713375146231945,"[0.6238508984073521, 2.527745781917723]"
los,wbc_max,,,0.056415306348217995,per 1 SD,1.1758391997136242,"[-0.03194911591252181, 2.398219703568527]"
los,creatinine_max,,,2.5041043891232254e-21,per 1 SD,-5.862772253305315,"[-7.03112768054921, -4.679733907248773]"
los,bun_max,,,0.003057178383251813,per 1 SD,1.9211769457071481,"[0.6458107040640204, 3.212704406967304]"
los,glucose_max,,,0.00019642801973489152,per 1 SD,-1.4695436549147955,"[-2.2343679881645984, -0.6987360712252144]"
