kind,variable,n,missing,mean,sd,median,iqr,min,max,positive,proportion
continuous,admission_age,25658,0.0,68.11372671291605,15.646091434036958,70.0,"[58.0, 80.0]",18.0,103.0,,
continuous,los_icu,25649,9.0,4.838388631135717,6.8905328985004335,2.54,"[1.33, 5.25]",0.0,159.67,,
continuous,los_hospital,25658,0.0,14.05405721412425,15.072686425528698,10.0,"[5.0, 17.0]",0.0,309.0,,
continuous,apsiii,25658,0.0,55.04973107802635,21.637914478801996,51.0,"[40.0, 66.0]",3.0,184.0,,
continuous,oasis,25658,0.0,33.320173045443916,9.01276151630188,33.0,"[27.0, 39.0]",8.0,72.0,,
continuous,sofa,25658,0.0,6.197833034531141,3.745768679902831,5.0,"[3.0, 8.0]",0.0,23.0,,
continuous,charlson_comorbidity_index,25658,0.0,6.12495128225115,3.00157424617464,6.0,"[4.0, 8.0]",0.0,19.0,,
continuous,creatinine_max,25544,114.0,2.2594112120263077,1.8691548549465622,1.7,"[1.3, 2.6]",0.1,43.0,,
continuous,bun_max,25542,116.0,44.059196617336156,29.437837767414265,36.0,"[24.0, 55.0]",2.0,263.0,,
continuous,heart_rate_max,25622,36.0,105.24494965264226,22.194767612185675,103.0,"[89.0, 118.0]",36.0,277.0,,
continuous,sbp_min,25594,64.0,89.02461524185355,18.27669627300618,88.0,"[79.0, 99.0]",4.0,195.0,,
binary,hospital_expire_flag,25658,,,,,,,,5370.0,0.2092914490607218
binary,male,25658,,,,,,,,15167.0,0.5911216774495284
binary,prolonged_icu_los,25658,,,,,,,,9103.0,0.3547821342271416
binary,dialysis_present,25658,,,,,,,,1552.0,0.060487956972484214
binary,dialysis_active,25658,,,,,,,,971.0,0.03784394730688284
binary,any_crrt_record,25658,,,,,,,,2172.0,0.08465196040221373
binary,any_aki,25658,,,,,,,,25658.0,1.0
binary,any_esrd,25658,,,,,,,,726.0,0.028295268532231663
