model,term,oddsRatio,ci95,pValue,scale,percentChangeInLos,ci95PercentChange
mortality,any_crrt_record,2.37050839382455,"[2.120360244594278, 2.6501676116210517]",5.64998073270396e-52,per unit,,
mortality,admission_age,1.0880443406392366,"[1.0391069582828005, 1.1392864591662955]",0.0003259469021786661,per 1 SD,,
mortality,male,0.9692784787885643,"[0.9029050626946084, 1.0405310682818076]",0.388595937997792,per unit,,
mortality,apsiii,1.7909647359124885,"[1.697977740505559, 1.889044013219553]",8.224603728561792e-102,per 1 SD,,
mortality,oasis,1.2317477323899644,"[1.1725927866501211, 1.293886926067645]",1.0367687020706009e-16,per 1 SD,,
mortality,sofa,1.4680750476250357,"[1.3967253270113371, 1.5430695669211967]",1.5116943264475157e-51,per 1 SD,,
mortality,charlson_comorbidity_index,1.3390180506447942,"[1.2840995260273027, 1.396285337398732]",1.6917799447377635e-42,per 1 SD,,
mortality,hemoglobin_min,1.064638913098518,"[1.0268125447801264, 1.1038587530368587]",0.0006900967385129618,per 1 SD,,
mortality,wbc_max,1.0686565919547142,"[1.0361946160824014, 1.102135538829558]",2.4534645581979767e-05,per 1 SD,,
mortality,creatinine_max,0.663301473545694,"[0.6240516360816823, 0.7050199364436908]",9.863001735973836e-40,per 1 SD,,
mortality,bun_max,1.1634290958748115,"[1.111272139317567, 1.2180340109663035]",9.902566356670679e-11,per 1 SD,,
mortality,glucose_max,0.8822114275089118,"[0.8474217645650727, 0.9184293292570339]",1.027076559855984e-09,per 1 SD,,
los,any_crrt_record,,,0.0,per unit,126.57868746221146,"[117.587698062757, 135.9411955233404]"
los,admission_age,,,3.080392736130991e-48,per 1 SD,-7.664709247068203,"[-8.648321002860692, -6.6705066395611805]"
los,male,,,1.630283000033661e-05,per unit,3.809777310002782,"[2.0597425356979837, 5.5898202112652395]"
los,apsiii,,,5.421097062037589e-42,per 1 SD,-9.910986578871682,"[-11.258105867342383, -8.543417756445159]"
los,oasis,,,3.9750715672153886e-206,per 1 SD,21.450089800328477,"[19.949526793919148, 22.969424780220216]"
los,sofa,,,3.805827081402877e-45,per 1 SD,10.059786062859155,"[8.603051747125123, 11.536060113734138]"
los,charlson_comorbidity_index,,,0.0034854227250512033,per 1 SD,1.5474131002107372,"[0.5066091053036237, 2.5989952217053025]"
los,hemoglobin_min,,,0.00023053117755584732,per 1 SD,1.7012619973156173,"[0.7923307845973504, 2.6183898252229776]"
los,wbc_max,,,0.14054127193086363,per 1 SD,0.8001098511822846,"[-0.26255308867335625, 1.8740950431980874]"
los,creatinine_max,,,3.102504542330362e-38,per 1 SD,-7.808275006947607,"[-8.93755875215957, -6.664986785689042]"
los,bun_max,,,2.320931200795927e-05,per 1 SD,2.6543902633978878,"[1.4162833466617508, 3.9076121960534227]"
los,glucose_max,,,0.0018733503965022381,per 1 SD,-1.2016496377667885,"[-1.9516108107647812, -0.4459520955570673]"
