family,icd_code,icd_version,long_title
aki,5845,9,Acute kidney failure with lesion of tubular necrosis
aki,5846,9,Acute kidney failure with lesion of renal cortical necrosis
aki,5847,9,Acute kidney failure with lesion of renal medullary [papillary] necrosis
aki,5848,9,Acute kidney failure with other specified pathological lesion in kidney
aki,5849,9,"Acute kidney failure, unspecified"
aki,N17,10,Acute kidney failure
aki,N170,10,Acute kidney failure with tubular necrosis
aki,N171,10,Acute kidney failure with acute cortical necrosis
aki,N172,10,Acute kidney failure with medullary necrosis
aki,N178,10,Other acute kidney failure
aki,N179,10,"Acute kidney failure, unspecified"
esrd,5856,9,End stage renal disease
esrd,V451,9,Renal dialysis status
esrd,V4511,9,Renal dialysis status
esrd,N186,10,End stage renal disease
esrd,Z992,10,Dependence on renal dialysis
sepsis,0380,9,Streptococcal septicemia
sepsis,03810,9,"Staphylococcal septicemia, unspecified"
sepsis,03811,9,Methicillin susceptible Staphylococcus aureus septicemia
sepsis,03812,9,Methicillin resistant Staphylococcus aureus septicemia
sepsis,03819,9,Other staphylococcal septicemia
sepsis,0382,9,Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
sepsis,0383,9,Septicemia due to anaerobes
sepsis,03840,9,"Septicemia due to gram-negative organism, unspecified"
sepsis,03841,9,Septicemia due to hemophilus influenzae [H. influenzae]
sepsis,03842,9,Septicemia due to escherichia coli [E. coli]
sepsis,03843,9,Septicemia due to pseudomonas
sepsis,03844,9,Septicemia due to serratia
sepsis,03849,9,Other septicemia due to gram-negative organisms
sepsis,0388,9,Other specified septicemias
sepsis,0389,9,Unspecified septicemia
sepsis,99591,9,Sepsis
sepsis,99592,9,Severe sepsis
sepsis,A41,10,Other sepsis
sepsis,A410,10,Sepsis due to Staphylococcus aureus
sepsis,A4101,10,Sepsis due to Methicillin susceptible Staphylococcus aureus
sepsis,A4102,10,Sepsis due to Methicillin resistant Staphylococcus aureus
sepsis,A411,10,Sepsis due to other specified staphylococcus
sepsis,A412,10,Sepsis due to unspecified staphylococcus
sepsis,A413,10,Sepsis due to Hemophilus influenzae
sepsis,A414,10,Sepsis due to anaerobes
sepsis,A415,10,Sepsis due to other Gram-negative organisms
sepsis,A4150,10,"Gram-negative sepsis, unspecified"
sepsis,A4151,10,Sepsis due to Escherichia coli [E. coli]
sepsis,A4152,10,Sepsis due to Pseudomonas
sepsis,A4153,10,Sepsis due to Serratia
sepsis,A4159,10,Other Gram-negative sepsis
sepsis,A418,10,Other specified sepsis
sepsis,A4181,10,Sepsis due to Enterococcus
sepsis,A4189,10,Other specified sepsis
sepsis,A419,10,"Sepsis, unspecified organism"
heart_failure,4280,9,"Congestive heart failure, unspecified"
heart_failure,4281,9,Left heart failure
heart_failure,42820,9,"Systolic heart failure, unspecified"
heart_failure,42821,9,Acute systolic heart failure
heart_failure,42822,9,Chronic systolic heart failure
heart_failure,42823,9,Acute on chronic systolic heart failure
heart_failure,42830,9,"Diastolic heart failure, unspecified"
heart_failure,42831,9,Acute diastolic heart failure
heart_failure,42832,9,Chronic diastolic heart failure
heart_failure,42833,9,Acute on chronic diastolic heart failure
heart_failure,42840,9,"Combined systolic and diastolic heart failure, unspecified"
heart_failure,42841,9,Acute combined systolic and diastolic heart failure
heart_failure,42842,9,Chronic combined systolic and diastolic heart failure
heart_failure,42843,9,Acute on chronic combined systolic and diastolic heart failure
heart_failure,4289,9,"Heart failure, unspecified"
heart_failure,I50,10,Heart failure
heart_failure,I502,10,Systolic (congestive) heart failure
heart_failure,I5020,10,Unspecified systolic (congestive) heart failure
