pair_id,treated_row,control_row,treated_propensity,control_propensity,distance
1,13782,56588,0.30308020276030767,0.3053535290353998,0.0022733262750921357
2,67242,31766,0.3471414076117792,0.3511093822603741,0.003967974648594885
3,11316,22877,0.3516749261505209,0.35993055819459746,0.008255632044076588
4,28755,16660,0.36047917604271407,0.36054268067024003,6.350462752596764e-05
5,64225,46700,0.3632489756721396,0.3632683781524193,1.940248027970659e-05
6,74204,24747,0.36563582665193395,0.36654577730435717,0.0009099506524232193
7,61322,43808,0.3687570251069808,0.3682075925361197,0.000549432570861097
8,24370,1805,0.36964826894983577,0.3696140927877995,3.4176162036270163e-05
9,24408,36111,0.37377829396918166,0.3749999277363664,0.00122163376718476
10,82000,59018,0.3751928654739935,0.37540169674041146,0.00020883126641796368
11,12386,67664,0.37558272159181005,0.37572602436491814,0.00014330277310808937
12,78581,37404,0.3839772727881836,0.38452956452551784,0.0005522917373342318
13,37718,23030,0.38672283811162506,0.3858810593837622,0.0008417787278628408
14,39438,19483,0.38798143257212986,0.3885877609084003,0.0006063283362704452
15,48825,75854,0.3912228891628506,0.39035139502443006,0.0008714941384205255
16,74133,47577,0.3942440656259147,0.39355715433287386,0.0006869112930408261
17,76641,58844,0.39425924406906393,0.39288678767555146,0.0013724563935124667
18,6991,50747,0.3953714091610946,0.39727625533669575,0.0019048461756011603
19,14650,69841,0.3959395758700371,0.3978305865211169,0.0018910106510798275
20,21152,78052,0.39612667494899195,0.3986068268557345,0.002480151906742556
21,76953,12347,0.3969600869479056,0.3988371712478448,0.0018770842999392134
22,45888,58559,0.3994548988306674,0.39956707520396506,0.00011217637329763441
23,49778,22280,0.4009000901450173,0.40115693650144946,0.0002568463564321388
24,12874,74714,0.401652482899313,0.40049549182141586,0.0011569910778971293
25,82013,61414,0.4020084330977148,0.40287403905688784,0.0008656059591730658
26,15776,79115,0.4042792560848345,0.40437334112567047,9.408504083596725e-05
27,27987,50179,0.4052425269412991,0.40520394401649007,3.858292480901637e-05
28,1316,73625,0.4068278786457636,0.407112870245173,0.0002849915994094232
29,24136,61984,0.4090122639797097,0.40899903333947685,1.3230640232841928e-05
30,23026,37425,0.4092622097137247,0.4092694798454907,7.270131766046184e-06
31,16758,48801,0.4097109127421055,0.4093262173661111,0.00038469537599444825
32,49513,11158,0.4110271030822889,0.410979220782157,4.788230013191841e-05
33,70903,83319,0.4115107492202114,0.41131373877020977,0.00019701045000164452
34,73655,64647,0.41495043340698995,0.41495360329828324,3.1698912932864864e-06
35,33086,52269,0.41534079210212754,0.4147897804283079,0.0005510116738196569
36,72242,47407,0.41550625423652043,0.41596402837827473,0.00045777414175429687
37,34948,40821,0.4155115246548441,0.4162109059450685,0.000699381290224399
38,27506,16739,0.41621890315977855,0.4166539391726583,0.0004350360128797526
39,53924,80966,0.41634719295347067,0.4169688255560567,0.0006216326025860197
40,53048,42346,0.41656958934187027,0.4169931464707323,0.000423557128862051
41,10594,41958,0.4170519805364402,0.4170976433891302,4.566285268997605e-05
42,32242,27083,0.4177959128029326,0.4180942119933609,0.0002982991904282861
43,6469,79672,0.41833568865981385,0.41848783940077666,0.00015215074096280867
44,66708,24471,0.4188190939124322,0.41900216966316733,0.00018307575073511773
