model,term,oddsRatio,ci95,pValue,scale,percentChangeInLos,ci95PercentChange
mortality,dialysis_present,0.9770043227791607,"[0.8025410847168033, 1.1893938701792433]",0.8166930483046567,per unit,,
mortality,admission_age,1.4141609192553477,"[1.2384903460191097, 1.6147490466738548]",3.0473466374620223e-07,per 1 SD,,
mortality,male,0.9538284972162328,"[0.7846374262178862, 1.15950217476516]",0.6351494449821264,per unit,,
mortality,apsiii,1.547757777590261,"[1.3627276653447624, 1.7579111358872148]",1.7647985053260992e-11,per 1 SD,,
mortality,oasis,0.867953998172521,"[0.7598363595205184, 0.9914557700542908]",0.036943873422529555,per 1 SD,,
mortality,sofa,1.8635880024639906,"[1.6666005182178594, 2.0838588521749988]",9.134385296368409e-28,per 1 SD,,
mortality,charlson_comorbidity_index,1.2683429541733804,"[1.1314299092294429, 1.4218236907815651]",4.528901388641035e-05,per 1 SD,,
mortality,hemoglobin_min,1.2080695524638543,"[1.0959985063614586, 1.3316003946349346]",0.00014161024768022395,per 1 SD,,
mortality,wbc_max,1.1826742757227084,"[1.0945571903989517, 1.2778852075755114]",2.1663733725799013e-05,per 1 SD,,
mortality,creatinine_max,0.6417441456266245,"[0.5448857362852599, 0.7558200206408798]",1.0749688620058281e-07,per 1 SD,,
mortality,bun_max,1.0367406456257406,"[0.9284107700361347, 1.157710790290212]",0.5216612282482508,per 1 SD,,
mortality,glucose_max,1.0707109343449575,"[0.970210494557842, 1.1816218350104688]",0.17427397316602977,per 1 SD,,
los,dialysis_present,,,0.5116672435727294,per unit,-1.448583131398451,"[-5.651249019770754, 2.9412860891407933]"
los,admission_age,,,2.537097815112314e-07,per 1 SD,-7.040910898788488,"[-9.585916300891872, -4.424267846534368]"
los,male,,,0.06261791672893356,per unit,4.048388793726687,"[-0.2088139540850742, 8.487208535524648]"
los,apsiii,,,0.3615512215596134,per 1 SD,1.7363294136040652,"[-1.9569855268927627, 5.56877283074968]"
los,oasis,,,5.797612986402125e-21,per 1 SD,16.036627562450747,"[12.490908472247808, 19.694107896627735]"
los,sofa,,,3.4166553704002184e-37,per 1 SD,20.525237832338195,"[17.11364055029856, 24.036217184306906]"
los,charlson_comorbidity_index,,,0.0015430140385422908,per 1 SD,4.243776150694356,"[1.5962228202585749, 6.9603235681436]"
los,hemoglobin_min,,,0.7095382691346577,per 1 SD,-0.4114599690296816,"[-2.54882552891893, 1.772783748679596]"
los,wbc_max,,,0.005938363243288618,per 1 SD,3.987101789106906,"[1.1307176040673106, 6.92416305036867]"
los,creatinine_max,,,0.00016627636090076574,per 1 SD,-7.811982805120921,"[-11.63365407253475, -3.8250317456902994]"
los,bun_max,,,0.00032478676643145913,per 1 SD,5.405670935229656,"[2.4230321077644668, 8.47516653887137]"
los,glucose_max,,,0.178470004046703,per 1 SD,-1.4013791474506432,"[-3.4077051854741858, 0.6466204441268442]"
