kind,variable,n,missing,mean,sd,median,iqr,min,max,positive,proportion
continuous,admission_age,4127,0.0,63.49212503028834,14.65955137282904,65.0,"[54.0, 74.0]",20.0,99.0,,
continuous,los_icu,4127,0.0,4.309890961957838,7.472392190179252,2.13,"[1.13, 4.29]",0.0,159.67,,
continuous,los_hospital,4127,0.0,13.308456505936515,18.386320857757983,8.0,"[4.0, 15.0]",0.0,515.0,,
continuous,apsiii,4127,0.0,57.231402956142475,17.493215984256796,55.0,"[45.0, 66.0]",0.0,155.0,,
continuous,oasis,4127,0.0,31.573055488248123,9.139354741034802,31.0,"[25.0, 38.0]",10.0,67.0,,
continuous,sofa,4127,0.0,7.197964623212988,2.9991622235790163,6.0,"[5.0, 9.0]",0.0,21.0,,
continuous,charlson_comorbidity_index,4127,0.0,7.167433971407802,2.4912499868119227,7.0,"[5.0, 9.0]",2.0,18.0,,
continuous,creatinine_max,4104,23.0,6.578045808966862,3.881155906957817,5.9,"[4.1, 8.1]",0.5,80.0,,
continuous,bun_max,4103,24.0,56.76675603217158,31.638321232875402,49.0,"[34.0, 72.0]",3.0,279.0,,
continuous,heart_rate_max,4119,8.0,100.93250789026463,20.287870213582785,98.0,"[87.0, 113.0]",48.0,194.0,,
continuous,sbp_min,4115,12.0,92.12879708383961,22.37721717949943,89.0,"[78.0, 106.0]",4.0,195.0,,
binary,hospital_expire_flag,4127,,,,,,,,637.0,0.15434940634843713
binary,male,4127,,,,,,,,2423.0,0.5871092803489217
binary,prolonged_icu_los,4127,,,,,,,,1220.0,0.2956142476375091
binary,dialysis_present,4127,,,,,,,,2521.0,0.610855342864066
binary,dialysis_active,4127,,,,,,,,1700.0,0.41192149260964384
binary,any_crrt_record,4127,,,,,,,,974.0,0.23600678458929003
binary,any_aki,4127,,,,,,,,726.0,0.17591470802035378
binary,any_esrd,4127,,,,,,,,4127.0,1.0
