model,term,oddsRatio,ci95,pValue,scale,percentChangeInLos,ci95PercentChange
mortality,dialysis_present,1.3524153162852885,"[1.150802741031347, 1.5893490017966647]",0.00024705141511443244,per unit,,
mortality,admission_age,1.0726211336260507,"[1.0150001438933225, 1.1335132346761074]",0.01282996802510858,per 1 SD,,
mortality,male,1.0008961777702714,"[0.9177989516552996, 1.0915170003935513]",0.983838718844719,per unit,,
mortality,apsiii,1.8986262264161542,"[1.7696416130101542, 2.037012195652161]",2.368468866730813e-71,per 1 SD,,
mortality,oasis,1.119597588635936,"[1.0531164382425804, 1.1902755620937944]",0.00029805100141460966,per 1 SD,,
mortality,sofa,1.4852738995004398,"[1.3945145705930069, 1.581940126734668]",9.400793606943074e-35,per 1 SD,,
mortality,charlson_comorbidity_index,1.4389923751544622,"[1.3671080527517385, 1.5146564688758446]",4.818370930001781e-44,per 1 SD,,
mortality,hemoglobin_min,0.9722263340890616,"[0.9308007164842375, 1.0154956135686024]",0.20485909422408544,per 1 SD,,
mortality,wbc_max,0.953660889418665,"[0.9116455888892673, 0.9976125624815233]",0.03902328884313395,per 1 SD,,
mortality,creatinine_max,0.80134717273856,"[0.7516001160860517, 0.8543868973838239]",1.2647967637287707e-11,per 1 SD,,
mortality,bun_max,1.1150020727478105,"[1.055895427077909, 1.1774173751963621]",8.961214197636969e-05,per 1 SD,,
mortality,glucose_max,0.9031838313856531,"[0.8624088772333717, 0.9458866377783407]",1.558438973989326e-05,per 1 SD,,
los,dialysis_present,,,0.00023204952601729782,per unit,12.103165744834698,"[5.487443723041552, 19.133797601627258]"
los,admission_age,,,2.8189911630997114e-82,per 1 SD,-14.753935699293264,"[-16.130765642798128, -13.354503180388011]"
los,male,,,1.5642497438116672e-05,per unit,5.971700420189108,"[3.2190556826940053, 8.797752659823676]"
los,apsiii,,,5.239149357754074e-19,per 1 SD,-10.173119013811826,"[-12.268896614360102, -8.027276116220005]"
los,oasis,,,4.213966813959941e-159,per 1 SD,29.773673465188686,"[27.33044877478539, 32.26377890521028]"
los,sofa,,,5.124168724190182e-23,per 1 SD,10.841873820658755,"[8.601275160703503, 13.128699215498685]"
los,charlson_comorbidity_index,,,0.0011206975461797682,per 1 SD,2.668637661962414,"[1.0549726356042344, 4.308069998423014]"
los,hemoglobin_min,,,0.09904049699099139,per 1 SD,1.2029954923914676,"[-0.22480009478366147, 2.6512230129597913]"
los,wbc_max,,,0.7225041686762483,per 1 SD,0.28431562455502046,"[-1.2748747140036598, 1.8681306420372357]"
los,creatinine_max,,,0.00019927561459923905,per 1 SD,-3.939005850518551,"[-5.951590760926839, -1.883352715412212]"
los,bun_max,,,4.0713552719375546e-08,per 1 SD,5.5731507380208045,"[3.5478921953989273, 7.638020634167142]"
los,glucose_max,,,0.027562327561606727,per 1 SD,1.4337841877380075,"[0.15744087748144064, 2.726392412826306]"
