kind,variable,n,missing,mean,sd,median,iqr,min,max,positive,proportion
continuous,admission_age,13730,0.0,67.26125273124545,15.799078719075707,68.0,"[58.0, 79.0]",18.0,103.0,,
continuous,los_icu,13723,7.0,5.812339138672302,8.266216267951588,2.88,"[1.46, 6.71]",0.0,140.04,,
continuous,los_hospital,13730,0.0,16.050983248361252,18.64876816670448,10.0,"[6.0, 20.0]",0.0,515.0,,
continuous,apsiii,13730,0.0,58.28812818645302,23.44807838589019,54.0,"[41.0, 71.0]",3.0,184.0,,
continuous,oasis,13730,0.0,35.24122359796067,9.18704822077366,35.0,"[28.0, 41.0]",6.0,72.0,,
continuous,sofa,13730,0.0,6.860233066278223,3.973258884672472,6.0,"[4.0, 9.0]",0.0,23.0,,
continuous,charlson_comorbidity_index,13730,0.0,5.7627093954843405,3.0450391816731495,6.0,"[4.0, 8.0]",0.0,19.0,,
continuous,creatinine_max,13656,74.0,2.078866432337434,1.8715437492348608,1.4,"[0.9, 2.5]",0.1,23.2,,
continuous,bun_max,13651,79.0,38.5570287890997,28.7059774162167,30.0,"[19.0, 49.0]",1.0,263.0,,
continuous,heart_rate_max,13706,24.0,111.36750328323362,22.479299952945322,110.0,"[95.0, 126.0]",46.0,277.0,,
continuous,sbp_min,13697,33.0,84.12582493733422,16.26174118866487,84.0,"[75.0, 93.0]",0.108,184.0,,
binary,hospital_expire_flag,13730,,,,,,,,3875.0,0.2822286962855062
binary,male,13730,,,,,,,,7603.0,0.5537509104151493
binary,prolonged_icu_los,13730,,,,,,,,5575.0,0.40604515659140566
binary,dialysis_present,13730,,,,,,,,1253.0,0.09126001456664239
binary,dialysis_active,13730,,,,,,,,764.0,0.05564457392571012
binary,any_crrt_record,13730,,,,,,,,1487.0,0.10830298616168973
binary,any_aki,13730,,,,,,,,8277.0,0.6028404952658413
binary,any_esrd,13730,,,,,,,,1030.0,0.07501820830298617
