pair_id,treated_row,control_row,treated_propensity,control_propensity,distance
1,79697,33450,0.005981108005122747,0.005981566043402174,4.5803827942742653e-07
2,70468,30708,0.006164938945474273,0.006164700959734051,2.3798574022137337e-07
3,76006,83788,0.0075862132011563655,0.007586762577260264,5.493761038987549e-07
4,46660,85035,0.00835332763850068,0.008352528712440462,7.989260602178638e-07
5,80402,18652,0.00896983236465111,0.00896986907077923,3.670612811965124e-08
6,74351,54935,0.011072047112127878,0.011071253614861257,7.9349726662091e-07
7,74204,37728,0.011111560386600255,0.011112435888263893,8.755016636385893e-07
8,1796,42481,0.011581975342238461,0.011583243788620438,1.2684463819769703e-06
9,39438,54922,0.011601626022895058,0.011600350693704653,1.2753291904043368e-06
10,24844,24337,0.012018272487323503,0.012019008672271582,7.361849480788663e-07
11,18135,30798,0.01276035449582702,0.012756676062528139,3.6784332988811647e-06
12,55593,67472,0.013129968121130415,0.013130574846265782,6.067251353669006e-07
13,55976,22832,0.013133545889836111,0.013132608879623963,9.370102121483009e-07
14,62618,11291,0.013988363241994164,0.013988839460815958,4.762188217932728e-07
15,13214,47245,0.014536549859420784,0.014536750424227932,2.0056480714777947e-07
16,10820,23035,0.014624486672090433,0.014624223030058179,2.6364203225409666e-07
17,20522,76795,0.01503372332227615,0.015032819122662348,9.041996138024061e-07
18,48678,65125,0.01512602177909008,0.015127074583624086,1.052804534005039e-06
19,77982,47528,0.015700615030837948,0.01570207844959849,1.463418760543761e-06
20,61322,35475,0.016093916258940084,0.016093726380088512,1.898788515725114e-07
21,52377,37601,0.016174786508468358,0.016174525830730146,2.606777382112291e-07
22,82000,21942,0.01628205683637762,0.01628100285185485,1.0539845227697242e-06
23,7063,56182,0.01644765968259476,0.01644693123336413,7.284492306268431e-07
24,64225,5045,0.01670200372322844,0.016700811203687018,1.1925195414208556e-06
25,47393,44662,0.01751124502061913,0.017510475332531,7.696880881293e-07
26,43853,41272,0.01821225530726925,0.01821246962929411,2.1432202486001972e-07
27,24408,69284,0.01854097749759702,0.018545004289020246,4.026791423226289e-06
28,73780,40010,0.018794409628724668,0.018792562487124496,1.8471416001718255e-06
29,14568,49519,0.018989071437200487,0.018990897405676156,1.825968475668155e-06
30,27506,84080,0.01911661365728117,0.01911862090473541,2.0072474542394414e-06
31,39602,59849,0.020119258538359067,0.020120592746230157,1.334207871090537e-06
32,12562,39110,0.020180520561232457,0.020184297867630006,3.77730639754964e-06
33,10634,38992,0.020275033902355112,0.02027789055802022,2.85665566510801e-06
34,82144,12520,0.020338358366674643,0.020337730461227846,6.279054467969725e-07
35,16403,34291,0.020348626491986398,0.02034561271866325,3.0137733231482e-06
36,11316,47592,0.02057129077063764,0.020570950960899493,3.398097381465681e-07
37,14604,61553,0.020881865382970127,0.02088173035993841,1.3502303171722407e-07
38,83193,35874,0.02182461840040164,0.021826070118726455,1.4517183248158316e-06
39,76953,69179,0.02207272223689602,0.022073506282484064,7.840455880439579e-07
40,21781,52741,0.024491578677141836,0.024491370932308017,2.0774483381821862e-07
41,64243,61952,0.025289467827058074,0.025282520699427644,6.947127630430733e-06
42,76415,54237,0.025651175400451618,0.025650034228806365,1.1411716452532084e-06
43,70607,33619,0.02577642509925085,0.025774434059862766,1.9910393880828714e-06
44,20183,81844,0.026242670233541286,0.026243428307929532,7.58074388245572e-07
45,27258,22730,0.026815679192406263,0.026814658369410774,1.0208229954886128e-06
46,16496,46249,0.027402428077947523,0.027404645087710577,2.217009763053751e-06
47,12579,22956,0.02806773914753108,0.02806726774146902,4.7140606205739455e-07
48,53924,56341,0.0284130923851432,0.02841329562866285,2.0324351964959297e-07
49,77663,70106,0.028476456755631596,0.028473781588491568,2.6751671400281063e-06
50,73494,29882,0.028591795974729106,0.028591922718544723,1.2674381561633696e-07
51,64394,81494,0.029217167405959824,0.02921707667786114,9.072809868324039e-08
52,52150,52330,0.029285827053829597,0.029288861577352398,3.0345235228004808e-06
53,61601,10790,0.029421450324632305,0.02942137205359226,7.827104004515251e-08
54,70903,53477,0.029463989242030916,0.02946230086218749,1.6883798434272346e-06
55,24370,39255,0.029594223765171037,0.029579846487235734,1.437727793530269e-05
56,74904,72257,0.02996849305261871,0.02996999787970253,1.5048270838209643e-06
57,32456,48622,0.03001308023670852,0.03001269499649484,3.8524021367739025e-07
58,46537,3262,0.0312743431936123,0.03127396935217026,3.738414420459413e-07
59,33630,26351,0.03147455576365911,0.031478152872560755,3.5971089016456625e-06
60,6108,66082,0.03216239783108788,0.032152919165731625,9.478665356256466e-06
61,51357,53557,0.033024445000774776,0.0330244462664619,1.2656871245519952e-09
62,21152,44915,0.0332515282951737,0.03324326937587555,8.258919298148593e-06
63,32242,9425,0.033413086182756936,0.033404760200733186,8.325982023750511e-06
64,26495,22444,0.03373120251920074,0.03373030643106438,8.960881363595519e-07
65,15776,38904,0.03467479098507719,0.034666620198584186,8.170786493004456e-06
66,77662,65194,0.03483907768859431,0.034836133293457,2.944395137309541e-06
67,33030,10244,0.035533757531469076,0.03553337706877629,3.80462692788075e-07
68,29459,32504,0.03611481119545219,0.0361072897618805,7.521433571695824e-06
69,5917,26660,0.03629551017216848,0.03629181618999813,3.6939821703441122e-06
70,10057,61554,0.0363066778984505,0.036306700933574215,2.303512371820693e-08
71,45888,23003,0.036327410628308694,0.03632570989960116,1.7007287075321287e-06
72,26857,24719,0.03647926617048758,0.03647656591774269,2.7002527448888314e-06
73,43678,66993,0.03717894938401246,0.03717620332718477,2.746056827686305e-06
74,23026,52359,0.03748144067940477,0.03748190968081499,4.6900141021516406e-07
75,24897,20821,0.03785084161885063,0.037852180211498686,1.3385926480591337e-06
76,64268,29191,0.038086385472162844,0.03808987054814836,3.485075985514008e-06
77,44847,25028,0.038120597747084865,0.0381203665202304,2.3122685446214097e-07
78,20450,31094,0.03911637810336923,0.03912214063516158,5.762531792352643e-06
79,78003,64992,0.039699137075505916,0.039690812896501254,8.324179004662313e-06
80,72438,62756,0.039938871143547626,0.03994439017395608,5.519030408455972e-06
81,42782,41029,0.04034512077221155,0.04034619423340303,1.073461191478109e-06
82,10594,51969,0.04082175564124085,0.040822025838771626,2.701975307731197e-07
83,73655,75559,0.041326741880744776,0.0413236237940661,3.1180866786745254e-06
84,36918,70247,0.04193623291046582,0.041936624628686324,3.9171822050626526e-07
85,5152,64180,0.04270966923244602,0.042705234467539974,4.434764906045829e-06
86,36683,55795,0.0429847711938228,0.043006428240845294,2.1657047022491382e-05
