family,icd_code,icd_version,long_title
cabg,3610,9,"Aortocoronary bypass for heart revascularization, not otherwise specified"
cabg,3611,9,(Aorto)coronary bypass of one coronary artery
cabg,3612,9,(Aorto)coronary bypass of two coronary arteries
cabg,3613,9,(Aorto)coronary bypass of three coronary arteries
cabg,3614,9,(Aorto)coronary bypass of four or more coronary arteries
cabg,0210083,10,"Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach"
cabg,0210088,10,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Zooplastic Tissue, Open Approach"
cabg,0210089,10,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Zooplastic Tissue, Open Approach"
cabg,021008C,10,"Bypass Coronary Artery, One Artery from Thoracic Artery with Zooplastic Tissue, Open Approach"
cabg,021008F,10,"Bypass Coronary Artery, One Artery from Abdominal Artery with Zooplastic Tissue, Open Approach"
cabg,021008W,10,"Bypass Coronary Artery, One Artery from Aorta with Zooplastic Tissue, Open Approach"
cabg,0210093,10,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Open Approach"
cabg,0210098,10,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Venous Tissue, Open Approach"
cabg,0210099,10,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Open Approach"
cabg,021009C,10,"Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Venous Tissue, Open Approach"
cabg,021009F,10,"Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Venous Tissue, Open Approach"
cabg,021009W,10,"Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Open Approach"
cabg,02100A3,10,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Open Approach"
cabg,02100A8,10,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Open Approach"
cabg,02100A9,10,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Open Approach"
cabg,02100AC,10,"Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Arterial Tissue, Open Approach"
cabg,02100AF,10,"Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Arterial Tissue, Open Approach"
cabg,02100AW,10,"Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Open Approach"
cabg,02100J3,10,"Bypass Coronary Artery, One Artery from Coronary Artery with Synthetic Substitute, Open Approach"
cabg,02100J8,10,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Synthetic Substitute, Open Approach"
cabg,02100J9,10,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Synthetic Substitute, Open Approach"
cabg,02100JC,10,"Bypass Coronary Artery, One Artery from Thoracic Artery with Synthetic Substitute, Open Approach"
cabg,02100JF,10,"Bypass Coronary Artery, One Artery from Abdominal Artery with Synthetic Substitute, Open Approach"
cabg,02100JW,10,"Bypass Coronary Artery, One Artery from Aorta with Synthetic Substitute, Open Approach"
cabg,02100K3,10,"Bypass Coronary Artery, One Artery from Coronary Artery with Nonautologous Tissue Substitute, Open Approach"
cabg,02100K8,10,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach"
cabg,02100K9,10,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach"
cabg,02100KC,10,"Bypass Coronary Artery, One Artery from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach"
cabg,02100KF,10,"Bypass Coronary Artery, One Artery from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach"
cabg,02100KW,10,"Bypass Coronary Artery, One Artery from Aorta with Nonautologous Tissue Substitute, Open Approach"
cabg,02100Z3,10,"Bypass Coronary Artery, One Artery from Coronary Artery, Open Approach"
