model,term,oddsRatio,ci95,pValue,scale,percentChangeInLos,ci95PercentChange
mortality,dialysis_present,1.2862885545781384,"[1.0896096236634552, 1.5184688256293792]",0.0029433522988201477,per unit,,
mortality,admission_age,1.189217106975021,"[1.1273781132556413, 1.2544480958903892]",2.0113792299329796e-10,per 1 SD,,
mortality,male,0.959516094695557,"[0.8811474323003382, 1.0448548134292277]",0.3417908014766018,per unit,,
mortality,apsiii,1.6704728247887715,"[1.5750753950614653, 1.7716481808471667]",1.4289813586615738e-65,per 1 SD,,
mortality,oasis,1.2446523479539147,"[1.175999454310983, 1.3173130834272737]",4.0240910508561537e-14,per 1 SD,,
mortality,sofa,1.4546065552647147,"[1.3765472523108704, 1.5370923352373547]",1.870222249679029e-40,per 1 SD,,
mortality,charlson_comorbidity_index,1.350050940036069,"[1.2876140168384906, 1.4155154548312845]",1.9496019793076757e-35,per 1 SD,,
mortality,hemoglobin_min,1.0741928328563428,"[1.0278759846940295, 1.122596752275924]",0.0014595240098204568,per 1 SD,,
mortality,wbc_max,1.0886045481606885,"[1.053077953791024, 1.1253296662511878]",5.303551202913274e-07,per 1 SD,,
mortality,creatinine_max,0.7812965381654857,"[0.7304837579595684, 0.8356438783176322]",6.333535364150612e-13,per 1 SD,,
mortality,bun_max,1.2042498736253873,"[1.1473073108875012, 1.2640185801700705]",5.4685750449459086e-14,per 1 SD,,
mortality,glucose_max,1.01561281948905,"[0.97680258141889, 1.0559650626764308]",0.4357977587583396,per 1 SD,,
los,dialysis_present,,,0.0193590198995262,per unit,5.410225766391541,"[0.8566233971166959, 10.16941993359739]"
los,admission_age,,,4.708271818006192e-79,per 1 SD,-9.562117649022417,"[-10.503548247402716, -8.610783958908186]"
los,male,,,0.0026001699422550178,per unit,2.655154624875533,"[0.9191764619780995, 4.420994507692888]"
los,apsiii,,,0.2886191361013799,per 1 SD,-0.8007621004161192,"[-2.2629557728201632, 0.683306699812003]"
los,oasis,,,4.8633016724970245e-96,per 1 SD,13.754918547204609,"[12.381480374305065, 15.145141802561612]"
los,sofa,,,1.2968019513920573e-88,per 1 SD,14.047161810668651,"[12.584426366187774, 15.528901615251534]"
los,charlson_comorbidity_index,,,0.0015316957313012418,per 1 SD,1.6822504066213995,"[0.6383751803512361, 2.736953266844]"
los,hemoglobin_min,,,0.11446744767846818,per 1 SD,0.7220748601819871,"[-0.17376123665480137, 1.6259501491423745]"
los,wbc_max,,,3.5458750424769567e-06,per 1 SD,2.4624153217293276,"[1.4141477739566977, 3.52151828917302]"
los,creatinine_max,,,2.2355208776046776e-22,per 1 SD,-7.117948575908628,"[-8.489179428716565, -5.726170709753486]"
los,bun_max,,,4.267656306670079e-10,per 1 SD,3.999502135834554,"[2.7271278711543, 5.287635979342409]"
los,glucose_max,,,0.3459504192447789,per 1 SD,0.41561353694861136,"[-0.44676409910198167, 1.285461499608198]"
