kind,variable,n,missing,mean,sd,median,iqr,min,max,positive,proportion
continuous,admission_age,22580,0.0,72.5607617360496,13.42975688316856,74.0,"[64.0, 83.0]",18.0,103.0,,
continuous,los_icu,22578,2.0,3.943374523872797,5.432692809506846,2.25,"[1.21, 4.42]",0.0,140.04,,
continuous,los_hospital,22580,0.0,11.615234720992028,12.014221534403555,8.0,"[5.0, 14.0]",0.0,296.0,,
continuous,apsiii,22580,0.0,48.478565101860056,19.162539376139613,45.0,"[35.0, 58.0]",0.0,184.0,,
continuous,oasis,22580,0.0,32.29154118689105,8.47977767173721,32.0,"[26.0, 38.0]",6.0,72.0,,
continuous,sofa,22580,0.0,5.159565987599645,3.295842096485988,5.0,"[3.0, 7.0]",0.0,22.0,,
continuous,charlson_comorbidity_index,22580,0.0,6.990389725420727,2.57582572904036,7.0,"[5.0, 9.0]",1.0,20.0,,
continuous,creatinine_max,22451,129.0,2.085728920760768,1.9457750191687149,1.4,"[1.0, 2.3]",0.1,35.0,,
continuous,bun_max,22447,133.0,38.992604802423486,27.196117965905547,31.0,"[20.0, 50.0]",3.0,263.0,,
continuous,heart_rate_max,22556,24.0,102.27812112076609,22.091717235601745,99.0,"[87.0, 115.0]",36.0,295.0,,
continuous,sbp_min,22520,60.0,89.53109517465955,17.70215651726407,89.0,"[79.0, 99.0]",0.93,195.0,,
binary,hospital_expire_flag,22580,,,,,,,,3339.0,0.14787422497785652
binary,male,22580,,,,,,,,12423.0,0.5501771479185119
binary,prolonged_icu_los,22580,,,,,,,,6984.0,0.30930026572187774
binary,dialysis_present,22580,,,,,,,,1753.0,0.07763507528786537
binary,dialysis_active,22580,,,,,,,,1169.0,0.051771479185119575
binary,any_crrt_record,22580,,,,,,,,1339.0,0.05930026572187777
binary,any_aki,22580,,,,,,,,10717.0,0.4746235606731621
binary,any_esrd,22580,,,,,,,,2151.0,0.09526129317980514
