model,term,oddsRatio,ci95,pValue,scale,percentChangeInLos,ci95PercentChange
mortality,any_aki,6.501987011523911,"[3.8881973403305707, 10.872862511250876]",9.581113435606284e-13,per unit,,
mortality,admission_age,1.0052331932617327,"[0.7743749351043001, 1.3049153930829087]",0.9687244737421892,per 1 SD,,
mortality,male,0.5060126855561824,"[0.3149852876467119, 0.8128914206017291]",0.004855228991029697,per unit,,
mortality,apsiii,1.5200155572412517,"[1.193263886955144, 1.9362416976776275]",0.0006968071210857216,per 1 SD,,
mortality,oasis,0.7298937515874667,"[0.5617682682917949, 0.9483356726900549]",0.0184190956416988,per 1 SD,,
mortality,sofa,1.5508541139311744,"[1.2057224745143527, 1.9947778477514124]",0.0006341430823314662,per 1 SD,,
mortality,charlson_comorbidity_index,1.5913998578220216,"[1.2573241934330361, 2.014240655435882]",0.00011123675303588425,per 1 SD,,
mortality,hemoglobin_min,1.0021138966164225,"[0.7818419692073163, 1.2844440453994912]",0.9866964871445592,per 1 SD,,
los,any_aki,,,3.4184301679542803e-50,per unit,39.519189347659875,"[33.53819538476854, 45.76806388719874]"
los,admission_age,,,0.10267369961950336,per 1 SD,-1.250839749771926,"[-2.7323605622955105, 0.2532466758438323]"
los,male,,,4.4910899944515355e-09,per unit,-9.045529896335347,"[-11.882148217924826, -6.1175974614345545]"
los,apsiii,,,0.0007167617465107266,per 1 SD,2.9614322619178735,"[1.2352269722287756, 4.71707181862322]"
los,oasis,,,0.007031500354333417,per 1 SD,1.8449346257300325,"[0.5000211610318717, 3.207846019250815]"
los,sofa,,,1.1027348025324666e-19,per 1 SD,7.801913865679788,"[6.0675582693863195, 9.564628645341621]"
los,charlson_comorbidity_index,,,1.6780800178073495e-25,per 1 SD,9.623805392931061,"[7.748499657680297, 11.531749834166938]"
los,hemoglobin_min,,,0.9504714768331354,per 1 SD,-0.04493572651340649,"[-1.4525114289917318, 1.3827446928576181]"
