kind,variable,n,missing,mean,sd,median,iqr,min,max,positive,proportion
continuous,admission_age,6529,0.0,68.02496553836728,10.15567347999623,69.0,"[61.0, 75.0]",25.0,92.0,,
continuous,los_icu,6529,0.0,2.9050987900137843,4.22812647115463,1.83,"[1.21, 3.17]",0.0,91.04,,
continuous,los_hospital,6529,0.0,9.162046255169244,6.700510240188058,7.0,"[5.0, 11.0]",1.0,108.0,,
continuous,apsiii,6529,0.0,37.7685709909634,18.15576880739686,33.0,"[26.0, 43.0]",3.0,133.0,,
continuous,oasis,6529,0.0,32.109205085005364,7.203696975763632,32.0,"[28.0, 37.0]",6.0,60.0,,
continuous,sofa,6529,0.0,5.07152703323633,2.693139798143907,5.0,"[3.0, 7.0]",0.0,16.0,,
continuous,charlson_comorbidity_index,6529,0.0,4.501761372338796,2.280304825154226,4.0,"[3.0, 6.0]",0.0,14.0,,
continuous,creatinine_max,6522,7.0,1.2016252683226005,1.0890853274683963,1.0,"[0.8, 1.2]",0.3,20.1,,
continuous,bun_max,6522,7.0,19.84851272615762,10.83381832372447,17.0,"[14.0, 22.0]",4.0,150.0,,
continuous,heart_rate_max,6521,8.0,96.33338445023769,13.206124382161256,94.0,"[88.0, 104.0]",50.0,189.0,,
continuous,sbp_min,6520,9.0,86.23315439672801,11.129960374258253,87.0,"[80.0, 93.0]",15.0,165.0,,
binary,hospital_expire_flag,6529,,,,,,,,89.0,0.013631490274161434
binary,male,6529,,,,,,,,5121.0,0.7843467606065248
binary,prolonged_icu_los,6529,,,,,,,,1195.0,0.18302956042272936
binary,any_aki,6529,,,,,,,,1094.0,0.16756011640373716
binary,dialysis_present,6529,,,,,,,,104.0,0.015928932455199878
binary,dialysis_active,6529,,,,,,,,69.0,0.010568234032776841
binary,any_crrt_record,6529,,,,,,,,124.0,0.01899218869658447
binary,any_esrd,6529,,,,,,,,182.0,0.027875631796599784
