model,term,oddsRatio,ci95,pValue,scale,percentChangeInLos,ci95PercentChange
mortality,any_aki,5.541778216679607,"[3.3155936662262877, 9.262686835151097]",6.42865039675089e-11,per unit,,
mortality,admission_age,0.7371394193181692,"[0.5534141587685137, 0.9818587307593886]",0.03705708534521833,per 1 SD,,
mortality,male,1.280099641480376,"[0.7725739344679442, 2.1210333652360345]",0.3378306437902244,per unit,,
mortality,apsiii,1.7174060000371252,"[1.3177466633392507, 2.2382780021535753]",6.292876075892483e-05,per 1 SD,,
mortality,oasis,0.8408366677492993,"[0.6321755581934744, 1.1183701942734232]",0.23356294517240783,per 1 SD,,
mortality,sofa,1.1937822744545055,"[0.9231983666192476, 1.5436727038637938]",0.17681537396100222,per 1 SD,,
mortality,charlson_comorbidity_index,1.9408032545856961,"[1.5118841221570547, 2.4914060659862813]",1.951223510026668e-07,per 1 SD,,
mortality,hemoglobin_min,0.9576341464268371,"[0.7599916323958598, 1.2066753360318347]",0.7135845951132914,per 1 SD,,
los,any_aki,,,1.0894617499700273e-37,per unit,44.250381825697445,"[36.399514603286185, 52.55312834051817]"
los,admission_age,,,4.028295534057989e-06,per 1 SD,-5.42215285468296,"[-7.637433020922558, -3.1537400571681085]"
los,male,,,9.828187330638565e-06,per unit,-8.08567149085907,"[-11.457946962097187, -4.58495714268361]"
los,apsiii,,,0.11833386262016923,per 1 SD,1.9966971460803729,"[-0.5027445594159463, 4.558926601967506]"
los,oasis,,,0.23712346643733528,per 1 SD,1.1823465218617102,"[-0.7703036505053773, 3.1734211058305206]"
los,sofa,,,6.628813092873909e-33,per 1 SD,15.008342396731656,"[12.400297024421626, 17.67690273958977]"
los,charlson_comorbidity_index,,,7.434616953617267e-20,per 1 SD,12.385316436642292,"[9.60062008181537, 15.24076543668964]"
los,hemoglobin_min,,,0.060175239046020824,per 1 SD,-2.0420086383639235,"[-4.127029396717163, 0.08835661630988145]"
