model,term,oddsRatio,ci95,pValue,scale,percentChangeInLos,ci95PercentChange
mortality,dialysis_present,1.852731359013077,"[0.8261601312797869, 4.154900918969613]",0.13451743090429866,per unit,,
mortality,admission_age,1.0465301441025654,"[0.7973586902150239, 1.3735666970908493]",0.7430617631962724,per 1 SD,,
mortality,male,0.516612549263527,"[0.32363497513931894, 0.8246590960747349]",0.00564191274223839,per unit,,
mortality,apsiii,1.5582008646680359,"[1.2293358098408622, 1.9750420635404076]",0.0002453504463276526,per 1 SD,,
mortality,oasis,0.7003598618133974,"[0.5431409131291896, 0.9030878068333099]",0.006035606704160832,per 1 SD,,
mortality,sofa,1.5891429443101441,"[1.2361797981616829, 2.0428867234411916]",0.00030095202808572835,per 1 SD,,
mortality,charlson_comorbidity_index,2.069972675146267,"[1.661235414825067, 2.579277348420479]",9.031662682806242e-11,per 1 SD,,
mortality,hemoglobin_min,0.978458958004764,"[0.7581289143640243, 1.2628220799399172]",0.8671384679670916,per 1 SD,,
los,dialysis_present,,,0.7103520051261756,per unit,2.526898921359244,"[-10.124449881318299, 16.959117229877418]"
los,admission_age,,,0.005620787094487735,per 1 SD,-2.1667297180433476,"[-3.671891509114078, -0.6380492256008896]"
los,male,,,8.882707380602046e-08,per unit,-8.546966945092683,"[-11.492850582692139, -5.503032127860741]"
los,apsiii,,,1.8067558653642154e-05,per 1 SD,3.867953140865321,"[2.0815652884860647, 5.685602088723596]"
los,oasis,,,0.028993765927621998,per 1 SD,1.5218477154255172,"[0.1547896116771197, 2.9075654146487606]"
los,sofa,,,6.576714260877298e-22,per 1 SD,8.559597001089747,"[6.758216371529402, 10.391373156941608]"
los,charlson_comorbidity_index,,,1.2425250950484895e-53,per 1 SD,14.815750170505758,"[12.816826074613342, 16.850091833796288]"
los,hemoglobin_min,,,0.741220835997284,per 1 SD,-0.24672747140438434,"[-1.6985831245236893, 1.2265712585747934]"
