pair_id,treated_row,control_row,treated_propensity,control_propensity,distance
1,27603,69732,0.0012720529492031248,0.0012720898671064976,3.691790337280107e-08
2,15780,28539,0.004826089497113686,0.004825711321270366,3.781758433196031e-07
3,71598,67052,0.01513542603935631,0.015137409214813772,1.9831754574616e-06
4,53602,49256,0.016939494474865768,0.01692332976364611,1.6164711219658623e-05
5,6559,20326,0.02108120984917632,0.02107372784255527,7.482006621050558e-06
6,43611,78704,0.021719390071679258,0.021725557432153,6.1673604737425e-06
7,72835,14379,0.024192405008886753,0.02421280441117456,2.039940228780804e-05
8,20183,63794,0.027385621088966645,0.027409722203826984,2.4101114860338585e-05
9,64777,46734,0.03479185399372529,0.03493475732585646,0.00014290333213116957
10,68109,34636,0.037141060997940664,0.036837911701093816,0.00030314929684684827
11,80222,61426,0.037755374338781005,0.03769971364607905,5.566069270195734e-05
12,46880,19756,0.0406888778384248,0.04038212154372981,0.00030675629469498894
13,64210,71290,0.04231731596218095,0.04228888230308151,2.843365909943607e-05
14,5096,60194,0.04231923858694354,0.042260480896425104,5.875769051843366e-05
15,64701,8837,0.043037754071445083,0.043001349081346486,3.6404990098597156e-05
16,54419,11418,0.045181976455986685,0.04497766421478856,0.00020431224119812214
17,81113,37717,0.046333853555747845,0.046368628100111275,3.477454436343064e-05
18,1394,71125,0.04693604071042557,0.04685371826689086,8.232244353471169e-05
19,3014,69971,0.047673509336823267,0.04770780266152331,3.429332470004237e-05
20,5165,35639,0.04820418254099295,0.04822813761104371,2.3955070050762917e-05
21,62805,75301,0.0545444683430692,0.05439143861021469,0.00015302973285450522
22,20450,70247,0.05541779924821672,0.055504731938399034,8.693269018231198e-05
23,78806,77644,0.05549090978135527,0.05584253955029085,0.000351629768935581
24,17526,14985,0.055741832030047,0.05594410214346838,0.00020227011342138085
25,42275,72241,0.05580158748646046,0.05609673701424616,0.0002951495277856986
26,40823,53950,0.0604288683825874,0.06035480988170008,7.405850088731958e-05
27,6986,25616,0.060843760047487865,0.06096883157030505,0.0001250715228171828
28,68681,51969,0.06110844273590962,0.06141114941028914,0.00030270667437952425
29,23008,68350,0.06618074235498415,0.06648308328993348,0.00030234093494932446
30,23943,66328,0.06692084556535946,0.06686361542807454,5.7230137284924876e-05
31,53906,57012,0.06743418591251032,0.0675557975042996,0.00012161159178927794
32,76158,2993,0.06867888510019834,0.06879166490770146,0.00011277980750311334
33,61228,56931,0.0801080483729336,0.07982122638814587,0.00028682198478773013
34,54082,27892,0.08410151002634203,0.08352331801684093,0.0005781920095010995
35,17607,80348,0.08731073666237169,0.087979976637903,0.0006692399755313105
36,13930,73056,0.08966472612603962,0.08900541093759362,0.0006593151884460025
37,30611,10177,0.09115457655052918,0.09126443955597126,0.00010986300544207905
38,50280,32057,0.09695707190581607,0.09698374891630525,2.6677010489181696e-05
39,81409,79084,0.09996198760824174,0.09963576075352254,0.0003262268547191971
40,52902,20864,0.1057085775777763,0.10623993165057216,0.0005313540727958643
41,40359,10663,0.10655586805510396,0.10671241934461823,0.00015655128951426456
42,21671,70580,0.10815388632319195,0.10847033991466838,0.0003164535914764316
43,27195,24743,0.10873817010788339,0.10889626150552892,0.0001580913976455267
44,45712,70275,0.11589260917152878,0.115702434857525,0.0001901743140037826
45,15574,65577,0.12155010873968582,0.12109982548426237,0.00045028325542344205
46,45517,13484,0.12961090930246782,0.12974062201685618,0.00012971271438835807
47,12792,20504,0.15852579295029157,0.15921419022072417,0.0006883972704326002
48,41876,33629,0.17205833353325442,0.17444874137954655,0.0023904078462921308
49,28271,51180,0.17640278409980922,0.17579074260737287,0.0006120414924363493
50,12147,59561,0.17850591983959263,0.17917744193072438,0.0006715220911317488
51,79795,33652,0.18462064076062534,0.18347119510306903,0.001149445657556314
52,6565,2833,0.1971994375319615,0.20125332934037649,0.004053891808414978
53,79823,18288,0.2081938834265065,0.20892003815488558,0.0007261547283790859
54,19269,38253,0.2237557111733375,0.22604470051366132,0.002288989340323816
55,70980,85227,0.227290360789628,0.22612271747107746,0.001167643318550543
56,10948,82374,0.2427848521732529,0.24697180159535978,0.004186949422106873
57,21146,23605,0.26437438009432174,0.26245361290745056,0.001920767186871175
58,30898,77949,0.27020194282822774,0.2690001592288077,0.0012017835994200254
59,40114,4122,0.30510294916506636,0.30518170219799756,7.875303293120028e-05
60,81565,28376,0.35538862876710364,0.3500098702378783,0.005378758529225369
61,44064,1292,0.36757026143728894,0.36722303723193217,0.00034722420535676646
62,20384,6244,0.6248145910205557,0.6190971680059031,0.005717423014652612
