model,term,oddsRatio,ci95,pValue,scale,percentChangeInLos,ci95PercentChange
mortality,dialysis_present,2.73925534406451,"[1.275668760740325, 5.882028368893636]",0.00975523584381452,per unit,,
mortality,admission_age,0.6998671042543739,"[0.5240567170158638, 0.9346583064645185]",0.01561532527865028,per 1 SD,,
mortality,male,1.366115812279649,"[0.8284337706424039, 2.2527720123158375]",0.22154066745244316,per unit,,
mortality,apsiii,1.8133917491765426,"[1.3937536570660671, 2.359376507684875]",9.324256991832387e-06,per 1 SD,,
mortality,oasis,0.8382474226029921,"[0.6345592536973876, 1.107317775930894]",0.21414557295075776,per 1 SD,,
mortality,sofa,1.1823619449799296,"[0.907608867509779, 1.5402887950757709]",0.21442158968618474,per 1 SD,,
mortality,charlson_comorbidity_index,2.2846103501465995,"[1.8077107548239357, 2.887322785500229]",4.639986299187867e-12,per 1 SD,,
mortality,hemoglobin_min,0.9481753031604054,"[0.7422812324191571, 1.2111802996733345]",0.6700732559122019,per 1 SD,,
los,dialysis_present,,,0.13367354892572092,per unit,15.351447268110219,"[-4.287479811408524, 39.02001912215476]"
los,admission_age,,,5.961681089273319e-12,per 1 SD,-8.143058315989116,"[-10.338863881408479, -5.8934773659398925]"
los,male,,,0.0001496656908769479,per unit,-7.139200293328807,"[-10.627404428252174, -3.5148518738061463]"
los,apsiii,,,0.0033225537277261747,per 1 SD,3.9302752058942625,"[1.2899762678171056, 6.639398115891182]"
los,oasis,,,0.2425887531972276,per 1 SD,1.2098640837270525,"[-0.8111853996441876, 3.2720940271198318]"
los,sofa,,,9.350781392239446e-34,per 1 SD,15.829045236004324,"[13.10682614942882, 18.61678182499411]"
los,charlson_comorbidity_index,,,3.765456378175937e-36,per 1 SD,17.690600027327562,"[14.735453551939859, 20.72185977390255]"
los,hemoglobin_min,,,0.0346801556314635,per 1 SD,-2.3696562606181804,"[-4.518391264770916, -0.172565744035047]"
