kind,variable,n,missing,mean,sd,median,iqr,min,max,positive,proportion
continuous,admission_age,3913,0.0,67.57577306414515,13.068149427901387,69.0,"[60.0, 77.0]",21.0,93.0,,
continuous,los_icu,3913,0.0,3.654819831331459,5.134585208195508,2.17,"[1.29, 4.0]",0.0,91.04,,
continuous,los_hospital,3913,0.0,10.32967032967033,9.114595439135055,7.0,"[5.0, 12.0]",0.0,140.0,,
continuous,apsiii,3913,0.0,40.05520061334015,19.2859633828911,35.0,"[27.0, 47.0]",4.0,142.0,,
continuous,oasis,3913,0.0,31.945821620240224,7.657389373023603,32.0,"[27.0, 37.0]",8.0,57.0,,
continuous,sofa,3913,0.0,5.803986710963455,2.890585602359448,6.0,"[4.0, 8.0]",0.0,17.0,,
continuous,charlson_comorbidity_index,3913,0.0,4.221313570150779,2.253963927521207,4.0,"[3.0, 6.0]",0.0,14.0,,
continuous,creatinine_max,3905,8.0,1.1782074263764404,1.102502213203681,0.9,"[0.8, 1.2]",0.3,20.1,,
continuous,bun_max,3905,8.0,20.330601792573624,11.73874802507297,17.0,"[14.0, 23.0]",3.0,136.0,,
continuous,heart_rate_max,3910,3.0,96.35498721227621,14.007812001547512,93.0,"[87.0, 104.0]",51.0,177.0,,
continuous,sbp_min,3909,4.0,85.26259913021234,11.141647458259689,86.0,"[79.0, 92.0]",12.0,135.0,,
binary,hospital_expire_flag,3913,,,,,,,,89.0,0.022744697163301814
binary,male,3913,,,,,,,,2487.0,0.6355737285969845
binary,prolonged_icu_los,3913,,,,,,,,1012.0,0.25862509583439813
binary,dialysis_present,3913,,,,,,,,68.0,0.01737797086634296
binary,dialysis_active,3913,,,,,,,,48.0,0.012266802964477384
binary,any_crrt_record,3913,,,,,,,,138.0,0.03526705852287248
binary,any_aki,3913,,,,,,,,793.0,0.2026578073089701
binary,any_esrd,3913,,,,,,,,97.0,0.024789164324048044
