model,term,oddsRatio,ci95,pValue,scale,percentChangeInLos,ci95PercentChange
mortality,any_aki,7.744815764671557,"[4.981279678429665, 12.041518465314178]",9.833851904336443e-20,per unit,,
mortality,admission_age,1.0091921042451355,"[0.8033111221436189, 1.2678384192577365]",0.9373498876374258,per 1 SD,,
mortality,male,0.697551394957254,"[0.4731631938713625, 1.028351221965704]",0.06894330433587698,per unit,,
mortality,apsiii,1.6002553162562059,"[1.3050160140889582, 1.9622878566696946]",6.233057810503435e-06,per 1 SD,,
mortality,oasis,0.8232151664168601,"[0.6656764640778933, 1.018036909502993]",0.07265071741515132,per 1 SD,,
mortality,sofa,1.2389215017345854,"[1.0112328444714433, 1.5178764177330137]",0.038661211060634186,per 1 SD,,
mortality,charlson_comorbidity_index,1.5182406024146962,"[1.2391887203668337, 1.8601319467612494]",5.587821728579829e-05,per 1 SD,,
mortality,hemoglobin_min,0.9855004210455592,"[0.8170037688425049, 1.1887473680286]",0.8786577722695229,per 1 SD,,
mortality,wbc_max,0.9718463870627667,"[0.8057366240208671, 1.172201153441044]",0.765237581372415,per 1 SD,,
mortality,creatinine_max,1.3330042672133384,"[1.1778389675859007, 1.508610621068944]",5.306667959778181e-06,per 1 SD,,
mortality,bun_max,0.8579354943554557,"[0.7355611894952678, 1.000669044243634]",0.05100400420557562,per 1 SD,,
mortality,glucose_max,1.2143948637307937,"[1.1065461203561453, 1.332755009417121]",4.2471501207070984e-05,per 1 SD,,
los,any_aki,,,1.6025424930769458e-65,per unit,40.87517973680783,"[35.44748245567777, 46.52037753726446]"
los,admission_age,,,0.005648707406944069,per 1 SD,-1.9923699141787266,"[-3.3793203707160546, -0.5855103494021519]"
los,male,,,5.014580358199782e-17,per unit,-10.417422956419497,"[-12.691248555441026, -8.084378977004015]"
los,apsiii,,,0.006120422769116894,per 1 SD,2.1108677672952325,"[0.597139249777956, 3.6473740103207364]"
los,oasis,,,0.029880253893333906,per 1 SD,1.29872487730478,"[0.12587291495660402, 2.485315363827967]"
los,sofa,,,3.804140243083276e-39,per 1 SD,10.085563589051837,"[8.512963998993172, 11.680953723018916]"
los,charlson_comorbidity_index,,,1.0526436193712227e-20,per 1 SD,7.944445351629703,"[6.224899470631939, 9.691826872402999]"
los,hemoglobin_min,,,0.11089538316774973,per 1 SD,-1.0556569143292616,"[-2.3382720493194786, 0.2438031159851306]"
los,wbc_max,,,0.13466618068872657,per 1 SD,1.0632927056486663,"[-0.3275318263038396, 2.4735247321092]"
los,creatinine_max,,,0.011756456021151983,per 1 SD,2.162530013687225,"[0.47618539701330675, 3.8771774381852087]"
los,bun_max,,,0.8571386808316411,per 1 SD,0.16876900231732606,"[-1.6534942019790666, 2.024796936319051]"
los,glucose_max,,,0.012159676244984412,per 1 SD,2.9728461453093047,"[0.6417151730840898, 5.357972338108041]"
