covariate,smdBefore,smdAfter,absSmdBefore,absSmdAfter
admission_age,0.16775555491814312,-0.043673787363505835,0.16775555491814312,0.043673787363505835
male,-0.02298827515537982,-0.04321185036219437,0.02298827515537982,0.04321185036219437
apsiii,0.5589734914653139,-0.05498249495581691,0.5589734914653139,0.05498249495581691
oasis,0.2886321839727293,-0.02603985059938654,0.2886321839727293,0.02603985059938654
sofa,0.5033905329081804,-0.05130963607518574,0.5033905329081804,0.05130963607518574
charlson_comorbidity_index,0.8257885375445134,-0.04472446951773529,0.8257885375445134,0.04472446951773529
hemoglobin_min,-0.29058772092755375,0.0154476443283306,0.29058772092755375,0.0154476443283306
wbc_max,0.12014866067586281,2.228041433365507e-05,0.12014866067586281,2.228041433365507e-05
creatinine_max,0.5128016310017279,-0.037300130156363624,0.5128016310017279,0.037300130156363624
bun_max,0.8329002449705255,-0.0054707894093458205,0.8329002449705255,0.0054707894093458205
glucose_max,0.3933514199175134,0.006246040139531762,0.3933514199175134,0.006246040139531762
