kind,variable,n,missing,mean,sd,median,iqr,min,max,positive,proportion
continuous,admission_age,9261,0.0,67.23831119749487,11.39162023486053,68.0,"[60.0, 75.0]",21.0,93.0,,
continuous,los_icu,9261,0.0,3.0648504481157546,4.41724444413615,1.96,"[1.25, 3.25]",0.0,91.04,,
continuous,los_hospital,9261,0.0,9.406327610409242,7.537737952087781,7.0,"[5.0, 11.0]",0.0,140.0,,
continuous,apsiii,9261,0.0,38.21131627254076,18.468440929679772,33.0,"[26.0, 44.0]",3.0,142.0,,
continuous,oasis,9261,0.0,31.88672929489256,7.379618325763619,32.0,"[27.0, 37.0]",6.0,60.0,,
continuous,sofa,9261,0.0,5.236475542597992,2.7462937632944477,5.0,"[3.0, 7.0]",0.0,17.0,,
continuous,charlson_comorbidity_index,9261,0.0,4.29618831659648,2.2641099559930313,4.0,"[3.0, 6.0]",0.0,14.0,,
continuous,creatinine_max,9250,11.0,1.1840864864864866,1.088645212065105,1.0,"[0.8, 1.2]",0.3,20.1,,
continuous,bun_max,9250,11.0,19.821297297297296,11.046249817667567,17.0,"[14.0, 22.0]",3.0,150.0,,
continuous,heart_rate_max,9253,8.0,96.37447314384524,13.556934476144095,94.0,"[88.0, 104.0]",50.0,189.0,,
continuous,sbp_min,9251,10.0,86.07298310092602,11.111556772665063,87.0,"[80.0, 93.0]",12.0,165.0,,
binary,hospital_expire_flag,9261,,,,,,,,144.0,0.015549076773566569
binary,male,9261,,,,,,,,6752.0,0.7290789331605658
binary,prolonged_icu_los,9261,,,,,,,,1835.0,0.19814274916315733
binary,any_aki,9261,,,,,,,,1609.0,0.17373933700464314
binary,dialysis_present,9261,,,,,,,,148.0,0.015980995572832307
binary,dialysis_active,9261,,,,,,,,100.0,0.010797969981643452
binary,any_crrt_record,9261,,,,,,,,210.0,0.022675736961451247
binary,any_esrd,9261,,,,,,,,237.0,0.02559118885649498
