icd_code,icd_version,long_title
99644,9,Peri-prosthetic fracture around prosthetic joint
M970,10,Periprosthetic fracture around internal prosthetic hip joint
M9701,10,Periprosthetic fracture around internal prosthetic right hip joint
M9701XA,10,"Periprosthetic fracture around internal prosthetic right hip joint, initial encounter"
M9701XD,10,"Periprosthetic fracture around internal prosthetic right hip joint, subsequent encounter"
M9701XS,10,"Periprosthetic fracture around internal prosthetic right hip joint, sequela"
M9702,10,Periprosthetic fracture around internal prosthetic left hip joint
M9702XA,10,"Periprosthetic fracture around internal prosthetic left hip joint, initial encounter"
M9702XD,10,"Periprosthetic fracture around internal prosthetic left hip joint, subsequent encounter"
M9702XS,10,"Periprosthetic fracture around internal prosthetic left hip joint, sequela"
