icd_code,icd_version,long_title
80500,9,"Closed fracture of cervical vertebra, unspecified level"
80501,9,Closed fracture of first cervical vertebra
80502,9,Closed fracture of second cervical vertebra
80503,9,Closed fracture of third cervical vertebra
80504,9,Closed fracture of fourth cervical vertebra
80505,9,Closed fracture of fifth cervical vertebra
80506,9,Closed fracture of sixth cervical vertebra
80507,9,Closed fracture of seventh cervical vertebra
80508,9,Closed fracture of multiple cervical vertebrae
80510,9,"Open fracture of cervical vertebra, unspecified level"
80511,9,Open fracture of first cervical vertebra
80512,9,Open fracture of second cervical vertebra
80513,9,Open fracture of third cervical vertebra
80514,9,Open fracture of fourth cervical vertebra
80515,9,Open fracture of fifth cervical vertebra
80516,9,Open fracture of sixth cervical vertebra
80517,9,Open fracture of seventh cervical vertebra
80518,9,Open fracture of multiple cervical vertebrae
8052,9,Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury
8053,9,Open fracture of dorsal [thoracic] vertebra without mention of spinal cord injury
8054,9,Closed fracture of lumbar vertebra without mention of spinal cord injury
8055,9,Open fracture of lumbar vertebra without mention of spinal cord injury
8056,9,Closed fracture of sacrum and coccyx without mention of spinal cord injury
8057,9,Open fracture of sacrum and coccyx without mention of spinal cord injury
8058,9,Closed fracture of unspecified vertebral column without mention of spinal cord injury
8059,9,Open fracture of unspecified vertebral column without mention of spinal cord injury
80600,9,Closed fracture of C1-C4 level with unspecified spinal cord injury
80604,9,Closed fracture of C1-C4 level with other specified spinal cord injury
80605,9,Closed fracture of C5-C7 level with unspecified spinal cord injury
80609,9,Closed fracture of C5-C7 level with other specified spinal cord injury
80610,9,Open fracture of C1-C4 level with unspecified spinal cord injury
80614,9,Open fracture of C1-C4 level with other specified spinal cord injury
80615,9,Open fracture of C5-C7 level with unspecified spinal cord injury
80619,9,Open fracture of C5-C7 level with other specified spinal cord injury
80620,9,Closed fracture of T1-T6 level with unspecified spinal cord injury
80624,9,Closed fracture of T1-T6 level with other specified spinal cord injury
80625,9,Closed fracture of T7-T12 level with unspecified spinal cord injury
80629,9,Closed fracture of T7-T12 level with other specified spinal cord injury
80630,9,Open fracture of T1-T6 level with unspecified spinal cord injury
80634,9,Open fracture of T1-T6 level with other specified spinal cord injury
80635,9,Open fracture of T7-T12 level with unspecified spinal cord injury
80639,9,Open fracture of T7-T12 level with other specified spinal cord injury
8064,9,Closed fracture of lumbar spine with spinal cord injury
8065,9,Open fracture of lumbar spine with spinal cord injury
80660,9,Closed fracture of sacrum and coccyx with unspecified spinal cord injury
80669,9,Closed fracture of sacrum and coccyx with other spinal cord injury
80670,9,Open fracture of sacrum and coccyx with unspecified spinal cord injury
80679,9,Open fracture of sacrum and coccyx with other spinal cord injury
8068,9,Closed fracture of unspecified vertebral column with spinal cord injury
8069,9,Open fracture of unspecified vertebral column with spinal cord injury
S12,10,Fracture of cervical vertebra and other parts of neck
S120,10,Fracture of first cervical vertebra
S1200,10,Unspecified fracture of first cervical vertebra
S12000,10,Unspecified displaced fracture of first cervical vertebra
S12000A,10,"Unspecified displaced fracture of first cervical vertebra, initial encounter for closed fracture"
S12000B,10,"Unspecified displaced fracture of first cervical vertebra, initial encounter for open fracture"
S12000D,10,"Unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12000G,10,"Unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12000K,10,"Unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12000S,10,"Unspecified displaced fracture of first cervical vertebra, sequela"
S12001,10,Unspecified nondisplaced fracture of first cervical vertebra
S12001A,10,"Unspecified nondisplaced fracture of first cervical vertebra, initial encounter for closed fracture"
S12001B,10,"Unspecified nondisplaced fracture of first cervical vertebra, initial encounter for open fracture"
S12001D,10,"Unspecified nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12001G,10,"Unspecified nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12001K,10,"Unspecified nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12001S,10,"Unspecified nondisplaced fracture of first cervical vertebra, sequela"
S1201,10,Stable burst fracture of first cervical vertebra
S1201XA,10,"Stable burst fracture of first cervical vertebra, initial encounter for closed fracture"
S1201XB,10,"Stable burst fracture of first cervical vertebra, initial encounter for open fracture"
S1201XD,10,"Stable burst fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S1201XG,10,"Stable burst fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S1201XK,10,"Stable burst fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S1201XS,10,"Stable burst fracture of first cervical vertebra, sequela"
S1202,10,Unstable burst fracture of first cervical vertebra
S1202XA,10,"Unstable burst fracture of first cervical vertebra, initial encounter for closed fracture"
S1202XB,10,"Unstable burst fracture of first cervical vertebra, initial encounter for open fracture"
S1202XD,10,"Unstable burst fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S1202XG,10,"Unstable burst fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S1202XK,10,"Unstable burst fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S1202XS,10,"Unstable burst fracture of first cervical vertebra, sequela"
S1203,10,Posterior arch fracture of first cervical vertebra
S12030,10,Displaced posterior arch fracture of first cervical vertebra
S12030A,10,"Displaced posterior arch fracture of first cervical vertebra, initial encounter for closed fracture"
S12030B,10,"Displaced posterior arch fracture of first cervical vertebra, initial encounter for open fracture"
S12030D,10,"Displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12030G,10,"Displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12030K,10,"Displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12030S,10,"Displaced posterior arch fracture of first cervical vertebra, sequela"
S12031,10,Nondisplaced posterior arch fracture of first cervical vertebra
S12031A,10,"Nondisplaced posterior arch fracture of first cervical vertebra, initial encounter for closed fracture"
S12031B,10,"Nondisplaced posterior arch fracture of first cervical vertebra, initial encounter for open fracture"
S12031D,10,"Nondisplaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12031G,10,"Nondisplaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
