icd_code,icd_version,long_title
73000,9,"Acute osteomyelitis, site unspecified"
73001,9,"Acute osteomyelitis, shoulder region"
73002,9,"Acute osteomyelitis, upper arm"
73003,9,"Acute osteomyelitis, forearm"
73004,9,"Acute osteomyelitis, hand"
73005,9,"Acute osteomyelitis, pelvic region and thigh"
73006,9,"Acute osteomyelitis, lower leg"
73007,9,"Acute osteomyelitis, ankle and foot"
73008,9,"Acute osteomyelitis, other specified sites"
73009,9,"Acute osteomyelitis, multiple sites"
73010,9,"Chronic osteomyelitis, site unspecified"
73011,9,"Chronic osteomyelitis, shoulder region"
73012,9,"Chronic osteomyelitis, upper arm"
73013,9,"Chronic osteomyelitis, forearm"
73014,9,"Chronic osteomyelitis, hand"
73015,9,"Chronic osteomyelitis, pelvic region and thigh"
73016,9,"Chronic osteomyelitis, lower leg"
73017,9,"Chronic osteomyelitis, ankle and foot"
73018,9,"Chronic osteomyelitis, other specified sites"
73019,9,"Chronic osteomyelitis, multiple sites"
73020,9,"Unspecified osteomyelitis, site unspecified"
73021,9,"Unspecified osteomyelitis, shoulder region"
73022,9,"Unspecified osteomyelitis, upper arm"
73023,9,"Unspecified osteomyelitis, forearm"
73024,9,"Unspecified osteomyelitis, hand"
73025,9,"Unspecified osteomyelitis, pelvic region and thigh"
73026,9,"Unspecified osteomyelitis, lower leg"
73027,9,"Unspecified osteomyelitis, ankle and foot"
73028,9,"Unspecified osteomyelitis, other specified sites"
73029,9,"Unspecified osteomyelitis, multiple sites"
73030,9,"Periostitis, without mention of osteomyelitis, site unspecified"
73031,9,"Periostitis, without mention of osteomyelitis, shoulder region"
73032,9,"Periostitis, without mention of osteomyelitis, upper arm"
73033,9,"Periostitis, without mention of osteomyelitis, forearm"
73034,9,"Periostitis, without mention of osteomyelitis, hand"
73035,9,"Periostitis, without mention of osteomyelitis, pelvic region and thigh"
73036,9,"Periostitis, without mention of osteomyelitis, lower leg"
73037,9,"Periostitis, without mention of osteomyelitis, ankle and foot"
73038,9,"Periostitis, without mention of osteomyelitis, other specified sites"
73039,9,"Periostitis, without mention of osteomyelitis, multiple sites"
M86,10,Osteomyelitis
M860,10,Acute hematogenous osteomyelitis
M8600,10,"Acute hematogenous osteomyelitis, unspecified site"
M8601,10,"Acute hematogenous osteomyelitis, shoulder"
M86011,10,"Acute hematogenous osteomyelitis, right shoulder"
M86012,10,"Acute hematogenous osteomyelitis, left shoulder"
M86019,10,"Acute hematogenous osteomyelitis, unspecified shoulder"
M8602,10,"Acute hematogenous osteomyelitis, humerus"
M86021,10,"Acute hematogenous osteomyelitis, right humerus"
M86022,10,"Acute hematogenous osteomyelitis, left humerus"
M86029,10,"Acute hematogenous osteomyelitis, unspecified humerus"
M8603,10,"Acute hematogenous osteomyelitis, radius and ulna"
M86031,10,"Acute hematogenous osteomyelitis, right radius and ulna"
M86032,10,"Acute hematogenous osteomyelitis, left radius and ulna"
M86039,10,"Acute hematogenous osteomyelitis, unspecified radius and ulna"
M8604,10,"Acute hematogenous osteomyelitis, hand"
M86041,10,"Acute hematogenous osteomyelitis, right hand"
M86042,10,"Acute hematogenous osteomyelitis, left hand"
M86049,10,"Acute hematogenous osteomyelitis, unspecified hand"
M8605,10,"Acute hematogenous osteomyelitis, femur"
M86051,10,"Acute hematogenous osteomyelitis, right femur"
M86052,10,"Acute hematogenous osteomyelitis, left femur"
M86059,10,"Acute hematogenous osteomyelitis, unspecified femur"
M8606,10,"Acute hematogenous osteomyelitis, tibia and fibula"
M86061,10,"Acute hematogenous osteomyelitis, right tibia and fibula"
M86062,10,"Acute hematogenous osteomyelitis, left tibia and fibula"
M86069,10,"Acute hematogenous osteomyelitis, unspecified tibia and fibula"
M8607,10,"Acute hematogenous osteomyelitis, ankle and foot"
M86071,10,"Acute hematogenous osteomyelitis, right ankle and foot"
M86072,10,"Acute hematogenous osteomyelitis, left ankle and foot"
M86079,10,"Acute hematogenous osteomyelitis, unspecified ankle and foot"
M8608,10,"Acute hematogenous osteomyelitis, other sites"
M8609,10,"Acute hematogenous osteomyelitis, multiple sites"
M861,10,Other acute osteomyelitis
M8610,10,"Other acute osteomyelitis, unspecified site"
M8611,10,"Other acute osteomyelitis, shoulder"
M86111,10,"Other acute osteomyelitis, right shoulder"
M86112,10,"Other acute osteomyelitis, left shoulder"
M86119,10,"Other acute osteomyelitis, unspecified shoulder"
