icd_code,icd_version,long_title
71100,9,"Pyogenic arthritis, site unspecified"
71101,9,"Pyogenic arthritis, shoulder region"
71102,9,"Pyogenic arthritis, upper arm"
71103,9,"Pyogenic arthritis, forearm"
71104,9,"Pyogenic arthritis, hand"
71105,9,"Pyogenic arthritis, pelvic region and thigh"
71106,9,"Pyogenic arthritis, lower leg"
71107,9,"Pyogenic arthritis, ankle and foot"
71108,9,"Pyogenic arthritis, other specified sites"
71109,9,"Pyogenic arthritis, multiple sites"
M00,10,Pyogenic arthritis
M000,10,Staphylococcal arthritis and polyarthritis
M0000,10,"Staphylococcal arthritis, unspecified joint"
M0001,10,"Staphylococcal arthritis, shoulder"
M00011,10,"Staphylococcal arthritis, right shoulder"
M00012,10,"Staphylococcal arthritis, left shoulder"
M00019,10,"Staphylococcal arthritis, unspecified shoulder"
M0002,10,"Staphylococcal arthritis, elbow"
M00021,10,"Staphylococcal arthritis, right elbow"
M00022,10,"Staphylococcal arthritis, left elbow"
M00029,10,"Staphylococcal arthritis, unspecified elbow"
M0003,10,"Staphylococcal arthritis, wrist"
M00031,10,"Staphylococcal arthritis, right wrist"
M00032,10,"Staphylococcal arthritis, left wrist"
M00039,10,"Staphylococcal arthritis, unspecified wrist"
M0004,10,"Staphylococcal arthritis, hand"
M00041,10,"Staphylococcal arthritis, right hand"
M00042,10,"Staphylococcal arthritis, left hand"
M00049,10,"Staphylococcal arthritis, unspecified hand"
M0005,10,"Staphylococcal arthritis, hip"
M00051,10,"Staphylococcal arthritis, right hip"
M00052,10,"Staphylococcal arthritis, left hip"
M00059,10,"Staphylococcal arthritis, unspecified hip"
M0006,10,"Staphylococcal arthritis, knee"
M00061,10,"Staphylococcal arthritis, right knee"
M00062,10,"Staphylococcal arthritis, left knee"
M00069,10,"Staphylococcal arthritis, unspecified knee"
M0007,10,"Staphylococcal arthritis, ankle and foot"
M00071,10,"Staphylococcal arthritis, right ankle and foot"
M00072,10,"Staphylococcal arthritis, left ankle and foot"
M00079,10,"Staphylococcal arthritis, unspecified ankle and foot"
M0008,10,"Staphylococcal arthritis, vertebrae"
M0009,10,Staphylococcal polyarthritis
M001,10,Pneumococcal arthritis and polyarthritis
M0010,10,"Pneumococcal arthritis, unspecified joint"
M0011,10,"Pneumococcal arthritis, shoulder"
M00111,10,"Pneumococcal arthritis, right shoulder"
M00112,10,"Pneumococcal arthritis, left shoulder"
M00119,10,"Pneumococcal arthritis, unspecified shoulder"
M0012,10,"Pneumococcal arthritis, elbow"
M00121,10,"Pneumococcal arthritis, right elbow"
M00122,10,"Pneumococcal arthritis, left elbow"
M00129,10,"Pneumococcal arthritis, unspecified elbow"
M0013,10,"Pneumococcal arthritis, wrist"
M00131,10,"Pneumococcal arthritis, right wrist"
M00132,10,"Pneumococcal arthritis, left wrist"
M00139,10,"Pneumococcal arthritis, unspecified wrist"
M0014,10,"Pneumococcal arthritis, hand"
M00141,10,"Pneumococcal arthritis, right hand"
M00142,10,"Pneumococcal arthritis, left hand"
M00149,10,"Pneumococcal arthritis, unspecified hand"
M0015,10,"Pneumococcal arthritis, hip"
M00151,10,"Pneumococcal arthritis, right hip"
M00152,10,"Pneumococcal arthritis, left hip"
M00159,10,"Pneumococcal arthritis, unspecified hip"
M0016,10,"Pneumococcal arthritis, knee"
M00161,10,"Pneumococcal arthritis, right knee"
M00162,10,"Pneumococcal arthritis, left knee"
M00169,10,"Pneumococcal arthritis, unspecified knee"
M0017,10,"Pneumococcal arthritis, ankle and foot"
M00171,10,"Pneumococcal arthritis, right ankle and foot"
M00172,10,"Pneumococcal arthritis, left ankle and foot"
M00179,10,"Pneumococcal arthritis, unspecified ankle and foot"
M0018,10,"Pneumococcal arthritis, vertebrae"
M0019,10,Pneumococcal polyarthritis
M002,10,Other streptococcal arthritis and polyarthritis
M0020,10,"Other streptococcal arthritis, unspecified joint"
M0021,10,"Other streptococcal arthritis, shoulder"
M00211,10,"Other streptococcal arthritis, right shoulder"
M00212,10,"Other streptococcal arthritis, left shoulder"
M00219,10,"Other streptococcal arthritis, unspecified shoulder"
M0022,10,"Other streptococcal arthritis, elbow"
M00221,10,"Other streptococcal arthritis, right elbow"
M00222,10,"Other streptococcal arthritis, left elbow"
M00229,10,"Other streptococcal arthritis, unspecified elbow"
M0023,10,"Other streptococcal arthritis, wrist"
M00231,10,"Other streptococcal arthritis, right wrist"
M00232,10,"Other streptococcal arthritis, left wrist"
M00239,10,"Other streptococcal arthritis, unspecified wrist"
M0024,10,"Other streptococcal arthritis, hand"
M00241,10,"Other streptococcal arthritis, right hand"
M00242,10,"Other streptococcal arthritis, left hand"
M00249,10,"Other streptococcal arthritis, unspecified hand"
M0025,10,"Other streptococcal arthritis, hip"
M00251,10,"Other streptococcal arthritis, right hip"
M00252,10,"Other streptococcal arthritis, left hip"
M00259,10,"Other streptococcal arthritis, unspecified hip"
M0026,10,"Other streptococcal arthritis, knee"
M00261,10,"Other streptococcal arthritis, right knee"
M00262,10,"Other streptococcal arthritis, left knee"
M00269,10,"Other streptococcal arthritis, unspecified knee"
M0027,10,"Other streptococcal arthritis, ankle and foot"
M00271,10,"Other streptococcal arthritis, right ankle and foot"
M00272,10,"Other streptococcal arthritis, left ankle and foot"
M00279,10,"Other streptococcal arthritis, unspecified ankle and foot"
M0028,10,"Other streptococcal arthritis, vertebrae"
M0029,10,Other streptococcal polyarthritis
M008,10,Arthritis and polyarthritis due to other bacteria
M0080,10,"Arthritis due to other bacteria, unspecified joint"
M0081,10,"Arthritis due to other bacteria, shoulder"
M00811,10,"Arthritis due to other bacteria, right shoulder"
M00812,10,"Arthritis due to other bacteria, left shoulder"
M00819,10,"Arthritis due to other bacteria, unspecified shoulder"
M0082,10,"Arthritis due to other bacteria, elbow"
M00821,10,"Arthritis due to other bacteria, right elbow"
M00822,10,"Arthritis due to other bacteria, left elbow"
M00829,10,"Arthritis due to other bacteria, unspecified elbow"
M0083,10,"Arthritis due to other bacteria, wrist"
M00831,10,"Arthritis due to other bacteria, right wrist"
M00832,10,"Arthritis due to other bacteria, left wrist"
M00839,10,"Arthritis due to other bacteria, unspecified wrist"
M0084,10,"Arthritis due to other bacteria, hand"
M00841,10,"Arthritis due to other bacteria, right hand"
M00842,10,"Arthritis due to other bacteria, left hand"
M00849,10,"Arthritis due to other bacteria, unspecified hand"
M0085,10,"Arthritis due to other bacteria, hip"
M00851,10,"Arthritis due to other bacteria, right hip"
M00852,10,"Arthritis due to other bacteria, left hip"
M00859,10,"Arthritis due to other bacteria, unspecified hip"
M0086,10,"Arthritis due to other bacteria, knee"
M00861,10,"Arthritis due to other bacteria, right knee"
M00862,10,"Arthritis due to other bacteria, left knee"
M00869,10,"Arthritis due to other bacteria, unspecified knee"
M0087,10,"Arthritis due to other bacteria, ankle and foot"
M00871,10,"Arthritis due to other bacteria, right ankle and foot"
M00872,10,"Arthritis due to other bacteria, left ankle and foot"
M00879,10,"Arthritis due to other bacteria, unspecified ankle and foot"
M0088,10,"Arthritis due to other bacteria, vertebrae"
M0089,10,Polyarthritis due to other bacteria
M009,10,"Pyogenic arthritis, unspecified"
