icd_code,icd_version,long_title
99666,9,Infection and inflammatory reaction due to internal joint prosthesis
T845,10,Infection and inflammatory reaction due to internal joint prosthesis
T8450,10,Infection and inflammatory reaction due to unspecified internal joint prosthesis
T8450XA,10,"Infection and inflammatory reaction due to unspecified internal joint prosthesis, initial encounter"
T8450XD,10,"Infection and inflammatory reaction due to unspecified internal joint prosthesis, subsequent encounter"
T8450XS,10,"Infection and inflammatory reaction due to unspecified internal joint prosthesis, sequela"
T8459,10,Infection and inflammatory reaction due to other internal joint prosthesis
T8459XA,10,"Infection and inflammatory reaction due to other internal joint prosthesis, initial encounter"
T8459XD,10,"Infection and inflammatory reaction due to other internal joint prosthesis, subsequent encounter"
T8459XS,10,"Infection and inflammatory reaction due to other internal joint prosthesis, sequela"
