icd_code,icd_version,long_title
82000,9,"Closed fracture of intracapsular section of neck of femur, unspecified"
82001,9,Closed fracture of epiphysis (separation) (upper) of neck of femur
82002,9,Closed fracture of midcervical section of neck of femur
82003,9,Closed fracture of base of neck of femur
82009,9,Other closed transcervical fracture of neck of femur
82010,9,"Open fracture of intracapsular section of neck of femur, unspecified"
82011,9,Open fracture of epiphysis (separation) (upper) of neck of femur
82012,9,Open fracture of midcervical section of neck of femur
82013,9,Open fracture of base of neck of femur
82019,9,Other open transcervical fracture of neck of femur
82020,9,Closed fracture of trochanteric section of neck of femur
82021,9,Closed fracture of intertrochanteric section of neck of femur
82022,9,Closed fracture of subtrochanteric section of neck of femur
82030,9,"Open fracture of trochanteric section of neck of femur, unspecified"
82031,9,Open fracture of intertrochanteric section of neck of femur
82032,9,Open fracture of subtrochanteric section of neck of femur
8208,9,Closed fracture of unspecified part of neck of femur
8209,9,Open fracture of unspecified part of neck of femur
82100,9,Closed fracture of unspecified part of femur
82101,9,Closed fracture of shaft of femur
82110,9,Open fracture of unspecified part of femur
82111,9,Open fracture of shaft of femur
82120,9,"Closed fracture of lower end of femur, unspecified part"
82121,9,"Closed fracture of condyle, femoral"
82122,9,"Closed fracture of epiphysis, lower (separation) of femur"
82123,9,Closed supracondylar fracture of femur
82129,9,Other closed fracture of lower end of femur
82130,9,"Open fracture of lower end of femur, unspecified part"
82131,9,"Open fracture of condyle, femoral"
82132,9,Open fracture of epiphysis. Lower (separation) of femur
82133,9,Open supracondylar fracture of femur
82139,9,Other open fracture of lower end of femur
82300,9,Closed fracture of upper end of tibia alone
82301,9,Closed fracture of upper end of fibula alone
82302,9,Closed fracture of upper end of fibula with tibia
82310,9,Open fracture of upper end of tibia alone
82311,9,Open fracture of upper end of fibula alone
82312,9,Open fracture of upper end of fibula with tibia
82320,9,Closed fracture of shaft of tibia alone
82321,9,Closed fracture of shaft of fibula alone
82322,9,Closed fracture of shaft of fibula with tibia
82330,9,Open fracture of shaft of tibia alone
82331,9,Open fracture of shaft of fibula alone
82332,9,Open fracture of shaft of fibula with tibia
82340,9,"Torus fracture, tibia alone"
82341,9,"Torus fracture, fibula alone"
82342,9,"Torus fracture, fibula with tibia"
82380,9,Closed fracture of unspecified part of tibia alone
82381,9,Closed fracture of unspecified part of fibula alone
82382,9,Closed fracture of unspecified part of fibula with tibia
82390,9,Open fracture of unspecified part of tibia alone
82391,9,Open fracture of unspecified part of fibula alone
82392,9,Open fracture of unspecified part of fibula with tibia
S72,10,Fracture of femur
S720,10,Fracture of head and neck of femur
S7200,10,Fracture of unspecified part of neck of femur
S72001,10,Fracture of unspecified part of neck of right femur
S72001A,10,"Fracture of unspecified part of neck of right femur, initial encounter for closed fracture"
S72001B,10,"Fracture of unspecified part of neck of right femur, initial encounter for open fracture type I or II"
S72001C,10,"Fracture of unspecified part of neck of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72001D,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with routine healing"
S72001E,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with routine healing"
S72001F,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72001G,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with delayed healing"
S72001H,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with delayed healing"
S72001J,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72001K,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with nonunion"
S72001M,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with nonunion"
S72001N,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72001P,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with malunion"
S72001Q,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with malunion"
S72001R,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72001S,10,"Fracture of unspecified part of neck of right femur, sequela"
S72002,10,Fracture of unspecified part of neck of left femur
S72002A,10,"Fracture of unspecified part of neck of left femur, initial encounter for closed fracture"
S72002B,10,"Fracture of unspecified part of neck of left femur, initial encounter for open fracture type I or II"
S72002C,10,"Fracture of unspecified part of neck of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
