icd_code,icd_version,long_title
4280,9,"Congestive heart failure, unspecified"
4281,9,Left heart failure
42820,9,"Systolic heart failure, unspecified"
42821,9,Acute systolic heart failure
42822,9,Chronic systolic heart failure
42823,9,Acute on chronic systolic heart failure
42830,9,"Diastolic heart failure, unspecified"
42831,9,Acute diastolic heart failure
42832,9,Chronic diastolic heart failure
42833,9,Acute on chronic diastolic heart failure
42840,9,"Combined systolic and diastolic heart failure, unspecified"
42841,9,Acute combined systolic and diastolic heart failure
42842,9,Chronic combined systolic and diastolic heart failure
42843,9,Acute on chronic combined systolic and diastolic heart failure
4289,9,"Heart failure, unspecified"
I50,10,Heart failure
I502,10,Systolic (congestive) heart failure
I5020,10,Unspecified systolic (congestive) heart failure
I5021,10,Acute systolic (congestive) heart failure
I5022,10,Chronic systolic (congestive) heart failure
I5023,10,Acute on chronic systolic (congestive) heart failure
I503,10,Diastolic (congestive) heart failure
I5030,10,Unspecified diastolic (congestive) heart failure
I5031,10,Acute diastolic (congestive) heart failure
I5032,10,Chronic diastolic (congestive) heart failure
I5033,10,Acute on chronic diastolic (congestive) heart failure
I504,10,Combined systolic (congestive) and diastolic (congestive) heart failure
I5040,10,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure
I5041,10,Acute combined systolic (congestive) and diastolic (congestive) heart failure
I5042,10,Chronic combined systolic (congestive) and diastolic (congestive) heart failure
I5043,10,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure
I508,10,Other heart failure
I5081,10,Right heart failure
I50810,10,"Right heart failure, unspecified"
I50811,10,Acute right heart failure
I50812,10,Chronic right heart failure
I50813,10,Acute on chronic right heart failure
I50814,10,Right heart failure due to left heart failure
I5082,10,Biventricular heart failure
I5083,10,High output heart failure
I5084,10,End stage heart failure
I5089,10,Other heart failure
I509,10,"Heart failure, unspecified"
