icd_code,icd_version,long_title
496,9,"Chronic airway obstruction, not elsewhere classified"
51881,9,Acute respiratory failure
J44,10,Other chronic obstructive pulmonary disease
J440,10,Chronic obstructive pulmonary disease with (acute) lower respiratory infection
J441,10,Chronic obstructive pulmonary disease with (acute) exacerbation
J449,10,"Chronic obstructive pulmonary disease, unspecified"
J96,10,"Respiratory failure, not elsewhere classified"
J960,10,Acute respiratory failure
J9600,10,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia"
J9601,10,Acute respiratory failure with hypoxia
J9602,10,Acute respiratory failure with hypercapnia
J961,10,Chronic respiratory failure
J9610,10,"Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia"
J9611,10,Chronic respiratory failure with hypoxia
J9612,10,Chronic respiratory failure with hypercapnia
J962,10,Acute and chronic respiratory failure
J9620,10,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia"
J9621,10,Acute and chronic respiratory failure with hypoxia
J9622,10,Acute and chronic respiratory failure with hypercapnia
J969,10,"Respiratory failure, unspecified"
J9690,10,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia"
J9691,10,"Respiratory failure, unspecified with hypoxia"
J9692,10,"Respiratory failure, unspecified with hypercapnia"
