icd_code,icd_version,long_title
5845,9,Acute kidney failure with lesion of tubular necrosis
5846,9,Acute kidney failure with lesion of renal cortical necrosis
5847,9,Acute kidney failure with lesion of renal medullary [papillary] necrosis
5848,9,Acute kidney failure with other specified pathological lesion in kidney
5849,9,"Acute kidney failure, unspecified"
N17,10,Acute kidney failure
N170,10,Acute kidney failure with tubular necrosis
N171,10,Acute kidney failure with acute cortical necrosis
N172,10,Acute kidney failure with medullary necrosis
N178,10,Other acute kidney failure
N179,10,"Acute kidney failure, unspecified"
