icd_code,icd_version,long_title
5851,9,"Chronic kidney disease, Stage I"
5852,9,"Chronic kidney disease, Stage II (mild)"
5853,9,"Chronic kidney disease, Stage III (moderate)"
5854,9,"Chronic kidney disease, Stage IV (severe)"
5855,9,"Chronic kidney disease, Stage V"
5859,9,"Chronic kidney disease, unspecified"
82000,9,"Closed fracture of intracapsular section of neck of femur, unspecified"
82001,9,Closed fracture of epiphysis (separation) (upper) of neck of femur
82002,9,Closed fracture of midcervical section of neck of femur
82003,9,Closed fracture of base of neck of femur
82009,9,Other closed transcervical fracture of neck of femur
82010,9,"Open fracture of intracapsular section of neck of femur, unspecified"
82011,9,Open fracture of epiphysis (separation) (upper) of neck of femur
82012,9,Open fracture of midcervical section of neck of femur
82013,9,Open fracture of base of neck of femur
82019,9,Other open transcervical fracture of neck of femur
82020,9,Closed fracture of trochanteric section of neck of femur
82021,9,Closed fracture of intertrochanteric section of neck of femur
82022,9,Closed fracture of subtrochanteric section of neck of femur
82030,9,"Open fracture of trochanteric section of neck of femur, unspecified"
82031,9,Open fracture of intertrochanteric section of neck of femur
82032,9,Open fracture of subtrochanteric section of neck of femur
8208,9,Closed fracture of unspecified part of neck of femur
8209,9,Open fracture of unspecified part of neck of femur
N18,10,Chronic kidney disease (CKD)
N181,10,"Chronic kidney disease, stage 1"
N182,10,"Chronic kidney disease, stage 2 (mild)"
N183,10,"Chronic kidney disease, stage 3 (moderate)"
N1830,10,"Chronic kidney disease, stage 3 unspecified"
N1831,10,"Chronic kidney disease, stage 3a"
N1832,10,"Chronic kidney disease, stage 3b"
N184,10,"Chronic kidney disease, stage 4 (severe)"
N185,10,"Chronic kidney disease, stage 5"
N189,10,"Chronic kidney disease, unspecified"
S72,10,Fracture of femur
S720,10,Fracture of head and neck of femur
S7200,10,Fracture of unspecified part of neck of femur
S72001,10,Fracture of unspecified part of neck of right femur
S72001A,10,"Fracture of unspecified part of neck of right femur, initial encounter for closed fracture"
S72001B,10,"Fracture of unspecified part of neck of right femur, initial encounter for open fracture type I or II"
S72001C,10,"Fracture of unspecified part of neck of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72001D,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with routine healing"
S72001E,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with routine healing"
S72001F,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72001G,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with delayed healing"
S72001H,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with delayed healing"
S72001J,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72001K,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with nonunion"
S72001M,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with nonunion"
S72001N,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72001P,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with malunion"
S72001Q,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with malunion"
S72001R,10,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72001S,10,"Fracture of unspecified part of neck of right femur, sequela"
S72002,10,Fracture of unspecified part of neck of left femur
S72002A,10,"Fracture of unspecified part of neck of left femur, initial encounter for closed fracture"
S72002B,10,"Fracture of unspecified part of neck of left femur, initial encounter for open fracture type I or II"
S72002C,10,"Fracture of unspecified part of neck of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72002D,10,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with routine healing"
S72002E,10,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with routine healing"
S72002F,10,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72002G,10,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with delayed healing"
S72002H,10,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with delayed healing"
S72002J,10,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72002K,10,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with nonunion"
S72002M,10,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with nonunion"
S72002N,10,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72002P,10,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with malunion"
S72002Q,10,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with malunion"
S72002R,10,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72002S,10,"Fracture of unspecified part of neck of left femur, sequela"
S72009,10,Fracture of unspecified part of neck of unspecified femur
S72009A,10,"Fracture of unspecified part of neck of unspecified femur, initial encounter for closed fracture"
S72009B,10,"Fracture of unspecified part of neck of unspecified femur, initial encounter for open fracture type I or II"
S72009C,10,"Fracture of unspecified part of neck of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72009D,10,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for closed fracture with routine healing"
S72009E,10,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
S72009F,10,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
