icd_code,icd_version,long_title
43490,9,"Cerebral artery occlusion, unspecified without mention of cerebral infarction"
43491,9,"Cerebral artery occlusion, unspecified with cerebral infarction"
I63,10,Cerebral infarction
I630,10,Cerebral infarction due to thrombosis of precerebral arteries
I6300,10,Cerebral infarction due to thrombosis of unspecified precerebral artery
I6301,10,Cerebral infarction due to thrombosis of vertebral artery
I63011,10,Cerebral infarction due to thrombosis of right vertebral artery
I63012,10,Cerebral infarction due to thrombosis of left vertebral artery
I63013,10,Cerebral infarction due to thrombosis of bilateral vertebral arteries
I63019,10,Cerebral infarction due to thrombosis of unspecified vertebral artery
I6302,10,Cerebral infarction due to thrombosis of basilar artery
I6303,10,Cerebral infarction due to thrombosis of carotid artery
I63031,10,Cerebral infarction due to thrombosis of right carotid artery
I63032,10,Cerebral infarction due to thrombosis of left carotid artery
I63033,10,Cerebral infarction due to thrombosis of bilateral carotid arteries
I63039,10,Cerebral infarction due to thrombosis of unspecified carotid artery
I6309,10,Cerebral infarction due to thrombosis of other precerebral artery
I631,10,Cerebral infarction due to embolism of precerebral arteries
I6310,10,Cerebral infarction due to embolism of unspecified precerebral artery
I6311,10,Cerebral infarction due to embolism of vertebral artery
I63111,10,Cerebral infarction due to embolism of right vertebral artery
I63112,10,Cerebral infarction due to embolism of left vertebral artery
I63113,10,Cerebral infarction due to embolism of bilateral vertebral arteries
I63119,10,Cerebral infarction due to embolism of unspecified vertebral artery
I6312,10,Cerebral infarction due to embolism of basilar artery
I6313,10,Cerebral infarction due to embolism of carotid artery
I63131,10,Cerebral infarction due to embolism of right carotid artery
I63132,10,Cerebral infarction due to embolism of left carotid artery
I63133,10,Cerebral infarction due to embolism of bilateral carotid arteries
I63139,10,Cerebral infarction due to embolism of unspecified carotid artery
I6319,10,Cerebral infarction due to embolism of other precerebral artery
I632,10,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
I6320,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries
I6321,10,Cerebral infarction due to unspecified occlusion or stenosis of vertebral arteries
I63211,10,Cerebral infarction due to unspecified occlusion or stenosis of right vertebral artery
I63212,10,Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery
I63213,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral vertebral arteries
I63219,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery
I6322,10,Cerebral infarction due to unspecified occlusion or stenosis of basilar artery
I6323,10,Cerebral infarction due to unspecified occlusion or stenosis of carotid arteries
I63231,10,Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries
I63232,10,Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries
I63233,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral carotid arteries
I63239,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery
I6329,10,Cerebral infarction due to unspecified occlusion or stenosis of other precerebral arteries
I633,10,Cerebral infarction due to thrombosis of cerebral arteries
I6330,10,Cerebral infarction due to thrombosis of unspecified cerebral artery
I6331,10,Cerebral infarction due to thrombosis of middle cerebral artery
I63311,10,Cerebral infarction due to thrombosis of right middle cerebral artery
I63312,10,Cerebral infarction due to thrombosis of left middle cerebral artery
I63313,10,Cerebral infarction due to thrombosis of bilateral middle cerebral arteries
I63319,10,Cerebral infarction due to thrombosis of unspecified middle cerebral artery
I6332,10,Cerebral infarction due to thrombosis of anterior cerebral artery
I63321,10,Cerebral infarction due to thrombosis of right anterior cerebral artery
I63322,10,Cerebral infarction due to thrombosis of left anterior cerebral artery
I63323,10,Cerebral infarction due to thrombosis of bilateral anterior cerebral arteries
I63329,10,Cerebral infarction due to thrombosis of unspecified anterior cerebral artery
I6333,10,Cerebral infarction due to thrombosis of posterior cerebral artery
I63331,10,Cerebral infarction due to thrombosis of right posterior cerebral artery
I63332,10,Cerebral infarction due to thrombosis of left posterior cerebral artery
I63333,10,Cerebral infarction due to thrombosis of bilateral posterior cerebral arteries
I63339,10,Cerebral infarction due to thrombosis of unspecified posterior cerebral artery
I6334,10,Cerebral infarction due to thrombosis of cerebellar artery
I63341,10,Cerebral infarction due to thrombosis of right cerebellar artery
I63342,10,Cerebral infarction due to thrombosis of left cerebellar artery
I63343,10,Cerebral infarction due to thrombosis of bilateral cerebellar arteries
I63349,10,Cerebral infarction due to thrombosis of unspecified cerebellar artery
I6339,10,Cerebral infarction due to thrombosis of other cerebral artery
I634,10,Cerebral infarction due to embolism of cerebral arteries
I6340,10,Cerebral infarction due to embolism of unspecified cerebral artery
I6341,10,Cerebral infarction due to embolism of middle cerebral artery
I63411,10,Cerebral infarction due to embolism of right middle cerebral artery
I63412,10,Cerebral infarction due to embolism of left middle cerebral artery
I63413,10,Cerebral infarction due to embolism of bilateral middle cerebral arteries
I63419,10,Cerebral infarction due to embolism of unspecified middle cerebral artery
I6342,10,Cerebral infarction due to embolism of anterior cerebral artery
I63421,10,Cerebral infarction due to embolism of right anterior cerebral artery
I63422,10,Cerebral infarction due to embolism of left anterior cerebral artery
I63423,10,Cerebral infarction due to embolism of bilateral anterior cerebral arteries
I63429,10,Cerebral infarction due to embolism of unspecified anterior cerebral artery
I6343,10,Cerebral infarction due to embolism of posterior cerebral artery
I63431,10,Cerebral infarction due to embolism of right posterior cerebral artery
I63432,10,Cerebral infarction due to embolism of left posterior cerebral artery
I63433,10,Cerebral infarction due to embolism of bilateral posterior cerebral arteries
I63439,10,Cerebral infarction due to embolism of unspecified posterior cerebral artery
I6344,10,Cerebral infarction due to embolism of cerebellar artery
I63441,10,Cerebral infarction due to embolism of right cerebellar artery
I63442,10,Cerebral infarction due to embolism of left cerebellar artery
