icd_code,icd_version,long_title
5715,9,Cirrhosis of liver without mention of alcohol
K74,10,Fibrosis and cirrhosis of liver
K740,10,Hepatic fibrosis
K7400,10,"Hepatic fibrosis, unspecified"
K7401,10,"Hepatic fibrosis, early fibrosis"
K7402,10,"Hepatic fibrosis, advanced fibrosis"
K742,10,Hepatic fibrosis with hepatic sclerosis
K743,10,Primary biliary cirrhosis
K744,10,Secondary biliary cirrhosis
K745,10,"Biliary cirrhosis, unspecified"
K746,10,Other and unspecified cirrhosis of liver
K7460,10,Unspecified cirrhosis of liver
K7469,10,Other cirrhosis of liver
