icd_code,icd_version,long_title
2850,9,Sideroblastic anemia
2851,9,Acute posthemorrhagic anemia
28521,9,Anemia in chronic kidney disease
28522,9,Anemia in neoplastic disease
28529,9,Anemia of other chronic disease
2853,9,Antineoplastic chemotherapy induced anemia
2858,9,Other specified anemias
2859,9,"Anemia, unspecified"
D64,10,Other anemias
D640,10,Hereditary sideroblastic anemia
D641,10,Secondary sideroblastic anemia due to disease
D642,10,Secondary sideroblastic anemia due to drugs and toxins
D643,10,Other sideroblastic anemias
D644,10,Congenital dyserythropoietic anemia
D648,10,Other specified anemias
D6481,10,Anemia due to antineoplastic chemotherapy
D6489,10,Other specified anemias
D649,10,"Anemia, unspecified"
