icd_code,icd_version,long_title
96500,9,"Poisoning by opium (alkaloids), unspecified"
96501,9,Poisoning by heroin
96502,9,Poisoning by methadone
96509,9,Poisoning by other opiates and related narcotics
T402,10,"Poisoning by, adverse effect of and underdosing of other opioids"
T402X,10,"Poisoning by, adverse effect of and underdosing of other opioids"
T402X1,10,"Poisoning by other opioids, accidental (unintentional)"
T402X1A,10,"Poisoning by other opioids, accidental (unintentional), initial encounter"
T402X1D,10,"Poisoning by other opioids, accidental (unintentional), subsequent encounter"
T402X1S,10,"Poisoning by other opioids, accidental (unintentional), sequela"
T402X2,10,"Poisoning by other opioids, intentional self-harm"
T402X2A,10,"Poisoning by other opioids, intentional self-harm, initial encounter"
T402X2D,10,"Poisoning by other opioids, intentional self-harm, subsequent encounter"
T402X2S,10,"Poisoning by other opioids, intentional self-harm, sequela"
T402X3,10,"Poisoning by other opioids, assault"
T402X3A,10,"Poisoning by other opioids, assault, initial encounter"
T402X3D,10,"Poisoning by other opioids, assault, subsequent encounter"
T402X3S,10,"Poisoning by other opioids, assault, sequela"
T402X4,10,"Poisoning by other opioids, undetermined"
T402X4A,10,"Poisoning by other opioids, undetermined, initial encounter"
T402X4D,10,"Poisoning by other opioids, undetermined, subsequent encounter"
T402X4S,10,"Poisoning by other opioids, undetermined, sequela"
T402X5,10,Adverse effect of other opioids
T402X5A,10,"Adverse effect of other opioids, initial encounter"
T402X5D,10,"Adverse effect of other opioids, subsequent encounter"
T402X5S,10,"Adverse effect of other opioids, sequela"
T402X6,10,Underdosing of other opioids
T402X6A,10,"Underdosing of other opioids, initial encounter"
T402X6D,10,"Underdosing of other opioids, subsequent encounter"
T402X6S,10,"Underdosing of other opioids, sequela"
