anchor_year_group,valve_strategy,n,in_hospital_mortality_n,in_hospital_mortality_pct,death_365d_n,death_365d_pct,mace_365d_n,mace_365d_pct
2008 - 2010,SAVR,827,19,0.022974607013301087,57,0.06892382103990327,173,0.20918984280532044
2008 - 2010,TAVR,193,8,0.04145077720207254,40,0.20725388601036268,60,0.31088082901554404
2011 - 2013,SAVR,694,19,0.027377521613832854,43,0.06195965417867435,133,0.19164265129682997
2011 - 2013,TAVR,208,4,0.019230769230769232,31,0.14903846153846154,53,0.2548076923076923
2014 - 2016,SAVR,697,12,0.01721664275466284,36,0.05164992826398852,125,0.1793400286944046
2014 - 2016,TAVR,366,6,0.01639344262295082,53,0.1448087431693989,98,0.2677595628415301
2017 - 2019,SAVR,551,8,0.014519056261343012,29,0.05263157894736842,81,0.147005444646098
2017 - 2019,TAVR,251,8,0.03187250996015936,40,0.1593625498007968,60,0.23904382470119523
2017 - 2019,mixed_savr_tavr_same_admission,3,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666
2020 - 2022,SAVR,280,5,0.017857142857142856,16,0.05714285714285714,46,0.16428571428571428
2020 - 2022,TAVR,183,5,0.0273224043715847,27,0.14754098360655737,43,0.23497267759562843
2020 - 2022,mixed_savr_tavr_same_admission,2,1,0.5,2,1.0,2,1.0
