outcome,status,term,odds_ratio,ci_low,ci_high,p_value,n,events,note
in_hospital_mortality,not_fit,,,,,,4255,96,math range error
death_30d,not_fit,,,,,,4255,127,math range error
death_365d,fit,admission_age,0.9892065683002695,0.9759054697766876,1.0026889540769854,0.11614147661422788,4255,375,
death_365d,fit,male,1.1713687550086869,0.9247465350016278,1.4837630726652962,0.18974106611671693,4255,375,
death_365d,fit,charlson_comorbidity_index,1.3301835539950926,1.2592708865755857,1.4050894896257184,1.834384522480121e-24,4255,375,
death_365d,fit,dialysis_group_non_dialysis,0.23679992213701012,0.1625563378292907,0.344952426173507,6.131284373629772e-14,4255,375,
death_365d,fit,dialysis_group_peritoneal_dialysis,0.581255239075753,0.1389022382477094,2.432341315843284,0.4575393331072438,4255,375,
death_365d,fit,valve_strategy_TAVR,1.7736606175511218,1.3626640677287523,2.308618874419483,2.037477861753709e-05,4255,375,
death_365d,fit,valve_strategy_mixed_savr_tavr_same_admission,15.031644591709561,2.3812218641175327,94.88840268783908,0.003940721626062873,4255,375,
death_365d,fit,anchor_year_group_2011 - 2013,0.7198650982642358,0.5130996458259921,1.0099515053548047,0.05708701055316105,4255,375,
death_365d,fit,anchor_year_group_2014 - 2016,0.7575425164346725,0.5482240736267129,1.0467812192372385,0.0923993562768676,4255,375,
death_365d,fit,anchor_year_group_2017 - 2019,0.8650777839172401,0.6111929630866562,1.224424392008354,0.4135374035225605,4255,375,
death_365d,fit,anchor_year_group_2020 - 2022,0.9544046170141173,0.6357041442040958,1.4328806588453182,0.8219084221558727,4255,375,
death_365d,fit,insurance_Medicare,0.7338725804106004,0.4441979267477942,1.212452674468021,0.22708016529753405,4255,375,
death_365d,fit,insurance_Other,0.38119527274140264,0.08446307138043656,1.7203948848354236,0.2097214700931025,4255,375,
death_365d,fit,insurance_Private,0.4286485017873887,0.24433558238802675,0.7519966444869998,0.003138769472603162,4255,375,
hf_readmission_365d,fit,admission_age,0.9826172354503441,0.9721118060770343,0.9932361950221636,0.0013863427312502073,4255,622,
hf_readmission_365d,fit,male,0.9711593196331398,0.8069373468186253,1.16880254437188,0.7568399065303415,4255,622,
hf_readmission_365d,fit,charlson_comorbidity_index,1.3189968509682872,1.2606016160101425,1.3800971462900777,4.317284675449214e-33,4255,622,
hf_readmission_365d,fit,dialysis_group_non_dialysis,1.0988176411862964,0.7328405874095363,1.647561869969792,0.648410409212008,4255,622,
hf_readmission_365d,fit,dialysis_group_peritoneal_dialysis,0.9381194032677391,0.22245141983246544,3.9562256579446573,0.9306764810065441,4255,622,
hf_readmission_365d,fit,valve_strategy_TAVR,2.0782863314793847,1.6829623675158876,2.566470979377537,1.0783293567342108e-11,4255,622,
hf_readmission_365d,fit,valve_strategy_mixed_savr_tavr_same_admission,1.7186968150595558,0.18736164588243917,15.765866744943676,0.6319861518013562,4255,622,
hf_readmission_365d,fit,anchor_year_group_2011 - 2013,0.719536236751966,0.556813337570719,0.9298132086022918,0.011859683596259853,4255,622,
hf_readmission_365d,fit,anchor_year_group_2014 - 2016,0.5594257662113149,0.4334372439897826,0.7220357554425896,8.135699209140032e-06,4255,622,
hf_readmission_365d,fit,anchor_year_group_2017 - 2019,0.6479913118645217,0.4936973804385087,0.8505063159925002,0.0017663668731577133,4255,622,
hf_readmission_365d,fit,anchor_year_group_2020 - 2022,0.4630364918892106,0.32547531299599647,0.6587374963940944,1.8620199920884617e-05,4255,622,
hf_readmission_365d,fit,insurance_Medicare,0.7930027090002643,0.5263851289367913,1.194663872347486,0.26731357719527993,4255,622,
hf_readmission_365d,fit,insurance_Other,0.897378745858281,0.36919008817993093,2.181230318203208,0.8111511646603276,4255,622,
hf_readmission_365d,fit,insurance_Private,0.6274862746084242,0.40852201260705107,0.9638134853719331,0.0333134611304734,4255,622,
cardiac_readmission_365d,fit,admission_age,0.9875761455778981,0.9796571236435344,0.9955591806316314,0.0023387074006130494,4255,1238,
cardiac_readmission_365d,fit,male,0.942718360217114,0.8188643040700432,1.0853054679184382,0.4117409378207284,4255,1238,
cardiac_readmission_365d,fit,charlson_comorbidity_index,1.1440087104682024,1.1027795333093182,1.1867793063765781,6.764272484376613e-13,4255,1238,
cardiac_readmission_365d,fit,dialysis_group_non_dialysis,0.9747069813035958,0.6947891884672238,1.3673985075931938,0.8820888872662078,4255,1238,
cardiac_readmission_365d,fit,dialysis_group_peritoneal_dialysis,1.9680335759104344,0.5838438661178534,6.63389029273279,0.2748284007654197,4255,1238,
cardiac_readmission_365d,fit,valve_strategy_TAVR,1.3862921823167398,1.169475508206767,1.6433059104412877,0.0001671490004584925,4255,1238,
cardiac_readmission_365d,fit,valve_strategy_mixed_savr_tavr_same_admission,0.7038832744519067,0.07802396303641138,6.349993575972629,0.7543658373154899,4255,1238,
cardiac_readmission_365d,fit,anchor_year_group_2011 - 2013,0.6973363885649602,0.5740536712176563,0.8470950769905374,0.0002814869162051719,4255,1238,
cardiac_readmission_365d,fit,anchor_year_group_2014 - 2016,0.5315393908177614,0.4381379887664628,0.6448519216203226,1.4569833241703633e-10,4255,1238,
cardiac_readmission_365d,fit,anchor_year_group_2017 - 2019,0.6024784859002789,0.4902290483245037,0.7404300647080794,1.4589241567838848e-06,4255,1238,
cardiac_readmission_365d,fit,anchor_year_group_2020 - 2022,0.4850165336023775,0.3749524240144121,0.6273890307177323,3.589071009640904e-08,4255,1238,
cardiac_readmission_365d,fit,insurance_Medicare,0.7640758166602459,0.5664197142844222,1.0307053919240288,0.07808008596226221,4255,1238,
cardiac_readmission_365d,fit,insurance_Other,0.8220190557978561,0.4396574874220472,1.5369130457822706,0.5393046934489834,4255,1238,
cardiac_readmission_365d,fit,insurance_Private,0.6682359715547638,0.49738347422229984,0.8977767393215871,0.007456740097021882,4255,1238,
mace_365d,fit,admission_age,0.9737951751178935,0.9644181169999977,0.983263406573781,7.498929689234016e-08,4255,876,
mace_365d,fit,male,1.0938724241785345,0.9243567508330007,1.294475189692643,0.2963042856902919,4255,876,
mace_365d,fit,charlson_comorbidity_index,1.5070496899176664,1.4426425161937149,1.5743323397076168,1.1954739664673075e-75,4255,876,
mace_365d,fit,dialysis_group_non_dialysis,0.5840087970821951,0.4123270822671983,0.827174080329686,0.002459409338915242,4255,876,
mace_365d,fit,dialysis_group_peritoneal_dialysis,2.0291216936473173,0.5431448357911579,7.58054680135686,0.29267456630074795,4255,876,
mace_365d,fit,valve_strategy_TAVR,0.8026978387340111,0.6584550527089841,0.9785388048241204,0.02965800464924656,4255,876,
mace_365d,fit,valve_strategy_mixed_savr_tavr_same_admission,11.086529335009581,1.1809046900339482,104.08217846310231,0.03524843575413293,4255,876,
mace_365d,fit,anchor_year_group_2011 - 2013,0.8118036328389717,0.640722574333407,1.0285655050880433,0.08421997266533561,4255,876,
mace_365d,fit,anchor_year_group_2014 - 2016,0.8905498730043488,0.7101709248834847,1.116743939408924,0.31547922217963476,4255,876,
mace_365d,fit,anchor_year_group_2017 - 2019,0.7593841754850454,0.5902297292175371,0.9770167401455389,0.03228948478259185,4255,876,
mace_365d,fit,anchor_year_group_2020 - 2022,0.8886297736891253,0.6584297927233557,1.1993121869844807,0.4401959576383464,4255,876,
mace_365d,fit,insurance_Medicare,0.738708912857874,0.5188104030812231,1.0518117113589,0.09299930762468199,4255,876,
mace_365d,fit,insurance_Other,0.8889186397564394,0.42083883970235997,1.8776222001403053,0.7575978589227892,4255,876,
mace_365d,fit,insurance_Private,0.4984381336416927,0.3460048669700564,0.7180262383121744,0.00018507426359260483,4255,876,
valve_reintervention_365d,not_fit,,,,,,4255,31,Low events per predictor
