icd_code,icd_version,long_title,dx_hemodialysis,dx_peritoneal_dialysis,dx_unspecified_dialysis,dx_esrd,dx_heart_failure,dx_mi,dx_stroke
4280,9,"Congestive heart failure, unspecified",0,0,0,0,1,0,0
V4511,9,Renal dialysis status,1,0,1,0,0,0,0
45821,9,Hypotension of hemodialysis,1,0,0,0,0,0,0
V451,9,Renal dialysis status,1,0,1,0,0,0,0
43310,9,Occlusion and stenosis of carotid artery without mention of cerebral infarction,0,0,0,0,0,0,1
43330,9,Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction,0,0,0,0,0,0,1
41072,9,"Subendocardial infarction, subsequent episode of care",0,0,0,0,0,1,0
40291,9,Unspecified hypertensive heart disease with heart failure,0,0,0,0,1,0,0
41082,9,"Acute myocardial infarction of other specified sites, subsequent episode of care",0,0,0,0,0,1,0
40211,9,Benign hypertensive heart disease with heart failure,0,0,0,0,1,0,0
43320,9,Occlusion and stenosis of vertebral artery without mention of cerebral infarction,0,0,0,0,0,0,1
5856,9,End stage renal disease,0,0,0,1,0,0,0
40490,9,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified",0,0,0,0,1,0,0
4289,9,"Heart failure, unspecified",0,0,0,0,1,0,0
43331,9,Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction,0,0,0,0,0,0,1
41092,9,"Acute myocardial infarction of unspecified site, subsequent episode of care",0,0,0,0,0,1,0
40290,9,Unspecified hypertensive heart disease without heart failure,0,0,0,0,1,0,0
Z992,10,Dependence on renal dialysis,1,0,1,0,0,0,0
I50810,10,"Right heart failure, unspecified",0,0,0,0,1,0,0
I110,10,Hypertensive heart disease with heart failure,0,0,0,0,1,0,0
I509,10,"Heart failure, unspecified",0,0,0,0,1,0,0
I953,10,Hypotension of hemodialysis,1,0,0,0,0,0,0
I5084,10,End stage heart failure,0,0,0,0,1,0,0
I5043,10,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,0,0,0,0,1,0,0
I50814,10,Right heart failure due to left heart failure,0,0,0,0,1,0,0
I119,10,Hypertensive heart disease without heart failure,0,0,0,0,1,0,0
I5082,10,Biventricular heart failure,0,0,0,0,1,0,0
N186,10,End stage renal disease,0,0,0,1,0,0,0
I50812,10,Chronic right heart failure,0,0,0,0,1,0,0
I5022,10,Chronic systolic (congestive) heart failure,0,0,0,0,1,0,0
I639,10,"Cerebral infarction, unspecified",0,0,0,0,0,0,1
I1310,10,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",0,0,0,0,1,0,0
I5032,10,Chronic diastolic (congestive) heart failure,0,0,0,0,1,0,0
I5023,10,Acute on chronic systolic (congestive) heart failure,0,0,0,0,1,0,0
I21A9,10,Other myocardial infarction type,0,0,0,0,0,1,0
I50811,10,Acute right heart failure,0,0,0,0,1,0,0
I50813,10,Acute on chronic right heart failure,0,0,0,0,1,0,0
I2121,10,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,0,0,0,0,0,1,0
I2129,10,ST elevation (STEMI) myocardial infarction involving other sites,0,0,0,0,0,1,0
I5030,10,Unspecified diastolic (congestive) heart failure,0,0,0,0,1,0,0
I5021,10,Acute systolic (congestive) heart failure,0,0,0,0,1,0,0
I638,10,Other cerebral infarction,0,0,0,0,0,0,1
I5033,10,Acute on chronic diastolic (congestive) heart failure,0,0,0,0,1,0,0
I63431,10,Cerebral infarction due to embolism of right posterior cerebral artery,0,0,0,0,0,0,1
I21A1,10,Myocardial infarction type 2,0,0,0,0,0,1,0
I5020,10,Unspecified systolic (congestive) heart failure,0,0,0,0,1,0,0
I130,10,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",0,0,0,0,1,0,0
I63412,10,Cerebral infarction due to embolism of left middle cerebral artery,0,0,0,0,0,0,1
I63411,10,Cerebral infarction due to embolism of right middle cerebral artery,0,0,0,0,0,0,1
I220,10,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,0,0,0,0,0,1,0
I6340,10,Cerebral infarction due to embolism of unspecified cerebral artery,0,0,0,0,0,0,1
I132,10,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",0,0,0,0,1,0,0
42823,9,Acute on chronic systolic heart failure,0,0,0,0,1,0,0
41071,9,"Subendocardial infarction, initial episode of care",0,0,0,0,0,1,0
42833,9,Acute on chronic diastolic heart failure,0,0,0,0,1,0,0
41011,9,"Acute myocardial infarction of other anterior wall, initial episode of care",0,0,0,0,0,1,0
43491,9,"Cerebral artery occlusion, unspecified with cerebral infarction",0,0,0,0,0,0,1
43411,9,Cerebral embolism with cerebral infarction,0,0,0,0,0,0,1
43311,9,Occlusion and stenosis of carotid artery with cerebral infarction,0,0,0,0,0,0,1
41021,9,"Acute myocardial infarction of inferolateral wall, initial episode of care",0,0,0,0,0,1,0
42822,9,Chronic systolic heart failure,0,0,0,0,1,0,0
42821,9,Acute systolic heart failure,0,0,0,0,1,0,0
42843,9,Acute on chronic combined systolic and diastolic heart failure,0,0,0,0,1,0,0
40491,9,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",0,0,0,0,1,0,0
41051,9,"Acute myocardial infarction of other lateral wall, initial episode of care",0,0,0,0,0,1,0
41091,9,"Acute myocardial infarction of unspecified site, initial episode of care",0,0,0,0,0,1,0
41041,9,"Acute myocardial infarction of other inferior wall, initial episode of care",0,0,0,0,0,1,0
42831,9,Acute diastolic heart failure,0,0,0,0,1,0,0
43381,9,Occlusion and stenosis of other specified precerebral artery with cerebral infarction,0,0,0,0,0,0,1
99668,9,Infection and inflammatory reaction due to peritoneal dialysis catheter,0,1,0,0,0,0,0
43321,9,Occlusion and stenosis of vertebral artery with cerebral infarction,0,0,0,0,0,0,1
42820,9,"Systolic heart failure, unspecified",0,0,0,0,1,0,0
41031,9,"Acute myocardial infarction of inferoposterior wall, initial episode of care",0,0,0,0,0,1,0
40493,9,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease",0,0,0,0,1,0,0
