anchor_year_group,valve_strategy,n,in_hospital_mortality_n,in_hospital_mortality_pct,death_1y_n,death_1y_pct,mace_1y_n,mace_1y_pct,valve_reintervention_1y_n,valve_reintervention_1y_pct
2008 - 2010,SAVR,826,19,0.023002421307506054,57,0.06900726392251816,99,0.1198547215496368,3,0.0036319612590799033
2008 - 2010,TAVR,194,8,0.041237113402061855,38,0.1958762886597938,49,0.25257731958762886,3,0.015463917525773196
2011 - 2013,SAVR,694,19,0.027377521613832854,42,0.06051873198847262,71,0.10230547550432277,5,0.007204610951008645
2011 - 2013,TAVR,208,4,0.019230769230769232,31,0.14903846153846154,36,0.17307692307692307,5,0.02403846153846154
2014 - 2016,SAVR,696,12,0.017241379310344827,34,0.04885057471264368,49,0.07040229885057471,1,0.0014367816091954023
2014 - 2016,TAVR,367,6,0.01634877384196185,51,0.13896457765667575,69,0.1880108991825613,2,0.005449591280653951
2017 - 2019,SAVR,551,8,0.014519056261343012,29,0.05263157894736842,38,0.06896551724137931,5,0.009074410163339383
2017 - 2019,TAVR,251,8,0.03187250996015936,39,0.1553784860557769,46,0.18326693227091634,4,0.01593625498007968
2017 - 2019,mixed_savr_tavr_same_admission,3,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,0,0.0
2020 - 2022,SAVR,280,5,0.017857142857142856,16,0.05714285714285714,18,0.06428571428571428,2,0.007142857142857143
2020 - 2022,TAVR,183,5,0.0273224043715847,27,0.14754098360655737,31,0.16939890710382513,1,0.00546448087431694
2020 - 2022,mixed_savr_tavr_same_admission,2,1,0.5,2,1.0,2,1.0,0,0.0
