model_family,outcome,status,term,n,events,note,odds_ratio,ci_low,ci_high,p_value,hazard_ratio
logistic,in_hospital_mortality,not_fit,,4238,92,math range error,,,,,
logistic,death_1y,fit,dialysis_hd_unspecified,4238,361,,4.443597044267257,3.044410952062235,6.4858374913036565,1.0740289818312634e-14,
logistic,death_1y,fit,valve_tavr,4238,361,,1.7817011128509377,1.3625931251951409,2.329718825698351,2.430998713458543e-05,
logistic,death_1y,fit,admission_age,4238,361,,0.9914406213395054,0.977854869619772,1.0052151256599822,0.22205376386910558,
logistic,death_1y,fit,male,4238,361,,1.1597221646066305,0.9116159104671481,1.4753532530939262,0.22761944331817552,
logistic,death_1y,fit,charlson_comorbidity_index,4238,361,,1.3367868782048364,1.2642695146925826,1.4134637725367882,1.9762129877312907e-24,
logistic,death_1y,fit,insurance_Medicare,4238,361,,0.852495153098059,0.4939739515638898,1.471227346613816,0.5665095804540834,
logistic,death_1y,fit,insurance_Other,4238,361,,0.47884865140072,0.10408288154216315,2.2030138630952703,0.3443231878972267,
logistic,death_1y,fit,insurance_Private,4238,361,,0.5322914141248013,0.29059729930406686,0.9750061347077892,0.041158555515398536,
logistic,death_1y,fit,insurance_missing,4238,361,,13.654043231870638,3.824589804932777,48.7458540880227,5.6735442480680505e-05,
logistic,death_1y,fit,anchor_year_group_2011 - 2013,4238,361,,0.7341623679182607,0.5205053313206427,1.035521348263223,0.07822997753386766,
logistic,death_1y,fit,anchor_year_group_2014 - 2016,4238,361,,0.7313800483808063,0.5253315323343887,1.0182460831782332,0.06390165812870953,
logistic,death_1y,fit,anchor_year_group_2017 - 2019,4238,361,,0.8883070673589476,0.6252027865242243,1.2621336035732456,0.5086794341679133,
logistic,death_1y,fit,anchor_year_group_2020 - 2022,4238,361,,0.9511273190357404,0.6295174336203335,1.4370422941483016,0.8119049051032623,
logistic,death_5y,fit,dialysis_hd_unspecified,4238,606,,4.000028000305441,2.801370559648366,5.71156998424226,2.3809285153559324e-14,
logistic,death_5y,fit,valve_tavr,4238,606,,2.2675044396960145,1.8219991200994103,2.8219422980624747,2.2108310508517372e-13,
logistic,death_5y,fit,admission_age,4238,606,,0.9844054903031327,0.9732580556473317,0.9956806046618495,0.006831784903898437,
logistic,death_5y,fit,male,4238,606,,1.0534518195374902,0.8667015274362821,1.2804416525831448,0.6009557105330314,
logistic,death_5y,fit,charlson_comorbidity_index,4238,606,,1.3837963421186936,1.3198391969055352,1.4508527409632093,2.914410286923641e-41,
logistic,death_5y,fit,insurance_Medicare,4238,606,,0.9640061927815453,0.6080313348641134,1.5283882366504307,0.876115843564331,
logistic,death_5y,fit,insurance_Other,4238,606,,0.8294824749083317,0.2913044315758152,2.361931716788802,0.7262166788218395,
logistic,death_5y,fit,insurance_Private,4238,606,,0.7237921491296798,0.44261532543609416,1.1835900047645298,0.19766258924925895,
logistic,death_5y,fit,insurance_missing,4238,606,,9.258029654458587,2.6507881024615725,32.33420015852705,0.00048712795722191893,
logistic,death_5y,fit,anchor_year_group_2011 - 2013,4238,606,,0.7096082370194632,0.5394429635038844,0.9334515122324786,0.014196255572118776,
logistic,death_5y,fit,anchor_year_group_2014 - 2016,4238,606,,0.6471315971139886,0.4964215188659725,0.8435961940972321,0.0012939808344959137,
logistic,death_5y,fit,anchor_year_group_2017 - 2019,4238,606,,0.7173887586384737,0.5386709901935292,0.9554006812877605,0.02308230325498509,
logistic,death_5y,fit,anchor_year_group_2020 - 2022,4238,606,,0.4717851773814863,0.32452656875470526,0.6858645024072572,8.312123450984132e-05,
logistic,mace_1y,fit,dialysis_hd_unspecified,4238,501,,3.0371117505698217,2.120946784885515,4.349023677153308,1.3256461940139016e-09,
logistic,mace_1y,fit,valve_tavr,4238,501,,1.5483075545517877,1.2274014530503046,1.9531150769982726,0.00022512234206837007,
logistic,mace_1y,fit,admission_age,4238,501,,0.983094099616501,0.9715878967538667,0.9947365667376323,0.004532262282621262,
logistic,mace_1y,fit,male,4238,501,,1.0370408577923353,0.8447256263195256,1.2731397121411137,0.7281823089783677,
logistic,mace_1y,fit,charlson_comorbidity_index,4238,501,,1.3318463827394278,1.2680298505595853,1.3988746293577463,2.679768631534629e-30,
logistic,mace_1y,fit,insurance_Medicare,4238,501,,0.9303313385514023,0.5853114774978608,1.478727878685767,0.7600345080681813,
logistic,mace_1y,fit,insurance_Other,4238,501,,0.8478129158546462,0.3042794195561003,2.3622588124381316,0.7521718979262191,
logistic,mace_1y,fit,insurance_Private,4238,501,,0.5413916299339644,0.3281369652684578,0.893239494437201,0.016310307779631248,
logistic,mace_1y,fit,insurance_missing,4238,501,,7.652304568722608,2.2199637846991447,26.37780202366175,0.0012684618968731214,
logistic,mace_1y,fit,anchor_year_group_2011 - 2013,4238,501,,0.6967109194860062,0.5234509600790246,0.9273191613933714,0.013241497860535408,
logistic,mace_1y,fit,anchor_year_group_2014 - 2016,4238,501,,0.6469906943253633,0.48988919112312224,0.854472738179706,0.0021538859585710345,
logistic,mace_1y,fit,anchor_year_group_2017 - 2019,4238,501,,0.6678944806175179,0.4926683686832034,0.9054428203532287,0.009328948493565623,
logistic,mace_1y,fit,anchor_year_group_2020 - 2022,4238,501,,0.6518765359313579,0.450011703585003,0.9442932588476539,0.023628597684598754,
logistic,mace_5y,fit,dialysis_hd_unspecified,4238,818,,2.8264948451988796,2.0010450992041866,3.9924503016514135,3.711969279062192e-09,
logistic,mace_5y,fit,valve_tavr,4238,818,,1.871018431189116,1.5395342154692087,2.273876042944884,3.0396223846381983e-10,
logistic,mace_5y,fit,admission_age,4238,818,,0.9807553222077563,0.9710650069867037,0.9905423376583588,0.00012522831340929625,
logistic,mace_5y,fit,male,4238,818,,0.9842503198227378,0.829707401244303,1.1675787037916499,0.8554560318241038,
logistic,mace_5y,fit,charlson_comorbidity_index,4238,818,,1.3533692635764025,1.296574779426367,1.4126515436338176,1.5897972894377525e-43,
logistic,mace_5y,fit,insurance_Medicare,4238,818,,0.9568668700438591,0.6473769827279472,1.4143138100606512,0.8249644055355875,
logistic,mace_5y,fit,insurance_Other,4238,818,,0.8487913688616449,0.3632741145119704,1.9832043051619226,0.7049682231208763,
logistic,mace_5y,fit,insurance_Private,4238,818,,0.651307136094637,0.43280109695611807,0.9801291829230461,0.03976176168191577,
logistic,mace_5y,fit,insurance_missing,4238,818,,4.846717144499016,1.4081617019310277,16.681796590950942,0.01232398845911596,
logistic,mace_5y,fit,anchor_year_group_2011 - 2013,4238,818,,0.6838020770105875,0.5399387813085131,0.8659968439215001,0.0016118614307009446,
