hcpcs_cd,hcpcs_norm,long_description,short_description,hcpcs_tavr,hcpcs_savr,hcpcs_peritoneal_dialysis,hcpcs_hemodialysis
G0257,G0257,Unscheduled or emergency dialysis treatment for an esrd patient in a hospital outpatient department that is not certified as an esrd facility,Unsched dialysis esrd pt hos,0,0,0,1
33361,33361,,Cardiovascular system,1,0,0,0
49324,49324,,Digestive system,0,0,1,0
49325,49325,,Digestive system,0,0,1,0
49420,49420,,Digestive system,0,0,1,0
49421,49421,,Digestive system,0,0,1,0
49422,49422,,Digestive system,0,0,1,0
90935,90935,,Dialysis,0,0,0,1
90945,90945,,Dialysis,0,0,0,1
49435,49435,,Digestive system,0,0,1,0
0256T,0256T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes,1,0,0,0
