valve_strategy,dialysis_group,n,death_n,death_pct,hf_n,hf_pct,cardiac_n,cardiac_pct,mi_n,mi_pct,stroke_n,stroke_pct,mace_n,mace_pct,valve_reintervention_n,valve_reintervention_pct,later_tavr_n,later_tavr_pct,later_savr_n,later_savr_pct,revision_n,revision_pct,horizon_days,horizon
SAVR,hemodialysis_or_unspecified_dialysis,113,19,0.168141592920354,9,0.07964601769911504,26,0.23008849557522124,2,0.017699115044247787,2,0.017699115044247787,22,0.19469026548672566,0,0.0,0,0.0,0,0.0,0,0.0,30,30d
SAVR,non_dialysis,2925,31,0.0105982905982906,149,0.05094017094017094,450,0.15384615384615385,15,0.005128205128205128,29,0.009914529914529915,74,0.0252991452991453,4,0.0013675213675213675,0,0.0,4,0.0013675213675213675,0,0.0,30,30d
SAVR,peritoneal_dialysis,9,2,0.2222222222222222,0,0.0,2,0.2222222222222222,1,0.1111111111111111,0,0.0,3,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,30,30d
TAVR,hemodialysis_or_unspecified_dialysis,54,5,0.09259259259259259,13,0.24074074074074073,15,0.2777777777777778,2,0.037037037037037035,0,0.0,6,0.1111111111111111,1,0.018518518518518517,1,0.018518518518518517,0,0.0,0,0.0,30,30d
TAVR,non_dialysis,1146,32,0.027923211169284468,140,0.12216404886561955,212,0.1849912739965096,14,0.012216404886561954,15,0.013089005235602094,60,0.05235602094240838,8,0.006980802792321117,7,0.006108202443280977,1,0.0008726003490401396,0,0.0,30,30d
TAVR,peritoneal_dialysis,3,0,0.0,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,30d
mixed_savr_tavr_same_admission,non_dialysis,5,2,0.4,1,0.2,1,0.2,1,0.2,0,0.0,3,0.6,0,0.0,0,0.0,0,0.0,0,0.0,30,30d
SAVR,hemodialysis_or_unspecified_dialysis,113,40,0.35398230088495575,21,0.18584070796460178,42,0.37168141592920356,5,0.04424778761061947,5,0.04424778761061947,45,0.39823008849557523,2,0.017699115044247787,0,0.0,2,0.017699115044247787,0,0.0,365,1y
SAVR,non_dialysis,2925,135,0.046153846153846156,293,0.10017094017094016,763,0.26085470085470086,33,0.011282051282051283,79,0.027008547008547008,226,0.07726495726495726,14,0.004786324786324786,0,0.0,13,0.0044444444444444444,1,0.0003418803418803419,365,1y
SAVR,peritoneal_dialysis,9,3,0.3333333333333333,1,0.1111111111111111,4,0.4444444444444444,1,0.1111111111111111,1,0.1111111111111111,4,0.4444444444444444,0,0.0,0,0.0,0,0.0,0,0.0,365,1y
TAVR,hemodialysis_or_unspecified_dialysis,54,20,0.37037037037037035,17,0.3148148148148148,21,0.3888888888888889,4,0.07407407407407407,0,0.0,20,0.37037037037037035,2,0.037037037037037035,1,0.018518518518518517,1,0.018518518518518517,0,0.0,365,1y
TAVR,non_dialysis,1146,166,0.14485165794066318,287,0.25043630017452007,404,0.3525305410122164,47,0.04101221640488656,30,0.02617801047120419,210,0.18324607329842932,13,0.011343804537521814,8,0.006980802792321117,3,0.002617801047120419,2,0.0017452006980802793,365,1y
TAVR,peritoneal_dialysis,3,0,0.0,2,0.6666666666666666,3,1.0,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,365,1y
mixed_savr_tavr_same_admission,non_dialysis,5,3,0.6,1,0.2,1,0.2,1,0.2,0,0.0,4,0.8,0,0.0,0,0.0,0,0.0,0,0.0,365,1y
SAVR,hemodialysis_or_unspecified_dialysis,113,48,0.4247787610619469,30,0.26548672566371684,52,0.46017699115044247,9,0.07964601769911504,11,0.09734513274336283,55,0.48672566371681414,2,0.017699115044247787,0,0.0,2,0.017699115044247787,0,0.0,1095,3y
SAVR,non_dialysis,2925,182,0.06222222222222222,386,0.13196581196581197,929,0.3176068376068376,52,0.017777777777777778,109,0.037264957264957266,300,0.10256410256410256,21,0.0071794871794871795,1,0.0003418803418803419,19,0.006495726495726496,1,0.0003418803418803419,1095,3y
SAVR,peritoneal_dialysis,9,5,0.5555555555555556,3,0.3333333333333333,5,0.5555555555555556,2,0.2222222222222222,1,0.1111111111111111,6,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,1095,3y
TAVR,hemodialysis_or_unspecified_dialysis,54,27,0.5,19,0.35185185185185186,26,0.48148148148148145,6,0.1111111111111111,0,0.0,27,0.5,2,0.037037037037037035,1,0.018518518518518517,1,0.018518518518518517,0,0.0,1095,3y
TAVR,non_dialysis,1146,255,0.22251308900523561,373,0.3254799301919721,512,0.4467713787085515,72,0.06282722513089005,47,0.04101221640488656,309,0.2696335078534031,16,0.013961605584642234,10,0.008726003490401396,4,0.0034904013961605585,2,0.0017452006980802793,1095,3y
TAVR,peritoneal_dialysis,3,1,0.3333333333333333,3,1.0,3,1.0,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,1095,3y
mixed_savr_tavr_same_admission,non_dialysis,5,3,0.6,1,0.2,1,0.2,1,0.2,0,0.0,4,0.8,0,0.0,0,0.0,0,0.0,0,0.0,1095,3y
SAVR,hemodialysis_or_unspecified_dialysis,113,56,0.49557522123893805,35,0.30973451327433627,55,0.48672566371681414,12,0.10619469026548672,11,0.09734513274336283,61,0.5398230088495575,2,0.017699115044247787,0,0.0,2,0.017699115044247787,0,0.0,1825,5y
SAVR,non_dialysis,2925,231,0.07897435897435898,470,0.1606837606837607,1044,0.3569230769230769,83,0.028376068376068375,136,0.046495726495726496,379,0.12957264957264958,42,0.014358974358974359,14,0.004786324786324786,27,0.009230769230769232,1,0.0003418803418803419,1825,5y
SAVR,peritoneal_dialysis,9,6,0.6666666666666666,3,0.3333333333333333,5,0.5555555555555556,3,0.3333333333333333,2,0.2222222222222222,7,0.7777777777777778,0,0.0,0,0.0,0,0.0,0,0.0,1825,5y
TAVR,hemodialysis_or_unspecified_dialysis,54,27,0.5,19,0.35185185185185186,26,0.48148148148148145,6,0.1111111111111111,0,0.0,27,0.5,2,0.037037037037037035,1,0.018518518518518517,1,0.018518518518518517,0,0.0,1825,5y
TAVR,non_dialysis,1146,292,0.2547993019197208,399,0.3481675392670157,545,0.4755671902268761,87,0.07591623036649214,51,0.04450261780104712,351,0.306282722513089,18,0.015706806282722512,12,0.010471204188481676,4,0.0034904013961605585,2,0.0017452006980802793,1825,5y
TAVR,peritoneal_dialysis,3,2,0.6666666666666666,3,1.0,3,1.0,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,1825,5y
mixed_savr_tavr_same_admission,non_dialysis,5,3,0.6,1,0.2,1,0.2,1,0.2,0,0.0,4,0.8,0,0.0,0,0.0,0,0.0,0,0.0,1825,5y
SAVR,hemodialysis_or_unspecified_dialysis,113,59,0.5221238938053098,38,0.336283185840708,57,0.504424778761062,15,0.13274336283185842,11,0.09734513274336283,66,0.584070796460177,2,0.017699115044247787,0,0.0,2,0.017699115044247787,0,0.0,3650,10y
SAVR,non_dialysis,2925,326,0.11145299145299145,563,0.19247863247863248,1147,0.39213675213675214,116,0.03965811965811966,166,0.05675213675213675,482,0.1647863247863248,74,0.0252991452991453,31,0.0105982905982906,40,0.013675213675213675,4,0.0013675213675213675,3650,10y
