icd_code,event_norm_code,icd_version,long_title,proc_savr,proc_tavr,proc_later_revision,proc_hemodialysis,proc_peritoneal_dialysis
3505,3505,9,Endovascular replacement of aortic valve,0,1,0,0,0
3506,3506,9,Transapical replacement of aortic valve,0,1,0,0,0
3521,3521,9,Open and other replacement of aortic valve with tissue graft,1,0,0,0,0
3522,3522,9,Open and other replacement of aortic valve,1,0,0,0,0
02RF08Z,02RF08Z,10,"Replacement of Aortic Valve with Zooplastic Tissue, Open Approach",1,0,0,0,0
02RF0JZ,02RF0JZ,10,"Replacement of Aortic Valve with Synthetic Substitute, Open Approach",1,0,0,0,0
02RF0KZ,02RF0KZ,10,"Replacement of Aortic Valve with Nonautologous Tissue Substitute, Open Approach",1,0,0,0,0
02RF37Z,02RF37Z,10,"Replacement of Aortic Valve with Autologous Tissue Substitute, Percutaneous Approach",0,1,0,0,0
02RF38H,02RF38H,10,"Replacement of Aortic Valve with Zooplastic Tissue, Transapical, Percutaneous Approach",0,1,0,0,0
02RF38Z,02RF38Z,10,"Replacement of Aortic Valve with Zooplastic Tissue, Percutaneous Approach",0,1,0,0,0
02RF3JZ,02RF3JZ,10,"Replacement of Aortic Valve with Synthetic Substitute, Percutaneous Approach",0,1,0,0,0
02RF3KZ,02RF3KZ,10,"Replacement of Aortic Valve with Nonautologous Tissue Substitute, Percutaneous Approach",0,1,0,0,0
X2RF032,X2RF032,10,"Replacement of Aortic Valve using Zooplastic Tissue, Rapid Deployment Technique, Open Approach, New Technology Group 2",0,1,0,0,0
X2RF332,X2RF332,10,"Replacement of Aortic Valve using Zooplastic Tissue, Rapid Deployment Technique, Percutaneous Approach, New Technology Group 2",0,1,0,0,0
X2RF432,X2RF432,10,"Replacement of Aortic Valve using Zooplastic Tissue, Rapid Deployment Technique, Percutaneous Endoscopic Approach, New Technology Group 2",0,1,0,0,0
