pair_id,treated_row_index,control_row_index,treated_propensity_score,control_propensity_score,logit_distance
1,284,216,0.3036911402405296,0.3048126638322434,0.005298140300344034
2,284,126,0.3036911402405296,0.3054024252270604,0.008079812174346057
3,114,272,0.33058470511239846,0.3287991090545903,0.008079812174346057
4,114,26,0.33058470511239846,0.3279610019172772,0.01187995009953513
5,57,277,0.3439997326797401,0.3110573391163607,0.1496604652728537
6,57,327,0.3439997326797401,0.3967792345448957,0.2266171163198561
7,447,329,0.3859702662452069,0.3999599831433147,0.058651169448791285
8,447,227,0.3859702662452069,0.4219868292424525,0.14966046527285404
9,90,180,0.39078373744117706,0.39012170134486296,0.0027816718740016344
10,90,178,0.39078373744117706,0.3936156597069092,0.011879950099535075
11,336,334,0.3916888177001263,0.3951877167643058,0.014661621973537764
12,336,386,0.3916888177001263,0.385645576027511,0.025434376618994614
13,246,454,0.3923518023280049,0.38439447633839197,0.033499867295600005
14,246,58,0.3923518023280049,0.404497689960386,0.0506779576954795
15,60,286,0.4009710098927642,0.41063080467738006,0.04006258516052186
16,60,78,0.4009710098927642,0.418761795603902,0.07356245245612175
17,279,135,0.41224212452776693,0.4880518488934548,0.3069025244624532
18,279,291,0.41224212452776693,0.4896964851329613,0.3134843342616439
19,168,396,0.41808488908712543,0.4355289353399119,0.07131219552356488
20,168,296,0.41808488908712543,0.4613156553892969,0.17559284340128417
21,166,88,0.4216561389724002,0.4696540794151111,0.1944454102210887
22,166,108,0.4216561389724002,0.4739313387644406,0.21160917912322635
23,450,232,0.45208484118189846,0.48569454868614553,0.1350131647970576
24,450,142,0.45208484118189846,0.4863894245999836,0.13779483667106007
25,330,388,0.46334816763653763,0.4873388030755448,0.09621515720111451
26,330,162,0.46334816763653763,0.49067808385987954,0.10957878817806385
27,384,8,0.4642691874364176,0.4999778413164649,0.1430786554736628
28,384,110,0.4642691874364176,0.5006974223799754,0.14595698153696407
29,176,62,0.4726105896788753,0.5167409056217284,0.17665608502429275
30,176,218,0.4726105896788753,0.5183843264533454,0.18323789482348452
31,350,10,0.4780216859585812,0.5267456121206111,0.19505460416573042
32,350,448,0.4780216859585812,0.5325128997714385,0.21820531042015784
33,438,378,0.4809866742084314,0.5374747936627879,0.22627080109676295
34,438,240,0.4809866742084314,0.5408426027579644,0.23982522761622288
35,298,170,0.4880337991547441,0.545791496050173,0.23155461989936607
36,298,416,0.4880337991547441,0.5570548778749165,0.2770918194050016
37,230,348,0.48935407767143246,0.5583617680206111,0.27710614090274227
38,230,278,0.48935407767143246,0.5632743108198384,0.29705158167888196
39,223,381,0.4910205269262101,0.4959829382714295,0.019853161852846538
40,223,5,0.4910205269262101,0.5317098996609477,0.16293181732651008
41,379,459,0.4926655399622136,0.5524196379343899,0.2397918141842133
42,379,45,0.4926655399622136,0.5721766211125833,0.3200772223268096
43,112,208,0.497035632446467,0.5653077744889821,0.274589672476401
44,112,140,0.497035632446467,0.5666057422301781,0.27987349127900346
45,22,72,0.49773103125688406,0.5679063110379973,0.282389959705346
46,22,70,0.49773103125688406,0.571500465092995,0.29705158167888296
47,76,402,0.49865688984634254,0.574831968820324,0.3069657652197425
48,76,194,0.49865688984634254,0.5829981072403028,0.340465632515342
49,331,221,0.5087138741484072,0.5779790966714624,0.2796238302452102
50,331,13,0.5087138741484072,0.5861317834578905,0.3131380190385514
51,123,343,0.5170830715174576,0.586215790553751,0.2799844669660444
52,123,275,0.5170830715174576,0.5874968831898896,0.28526828576864705
53,3,67,0.5284040635426125,0.5955943528352207,0.2734026571668535
54,3,121,0.5284040635426125,0.6031907573332312,0.30503911492993685
55,441,383,0.5411125664382126,0.604537553284952,0.2595855686740104
56,441,175,0.5411125664382126,0.6125211364112081,0.29309975746735145
57,120,410,0.5520890836942146,0.6277475804760785,0.31345092082963444
58,120,432,0.5520890836942146,0.6283354409249624,0.31596738925597634
59,260,202,0.5554302466976622,0.6355450810237262,0.33344409653552476
60,260,224,0.5554302466976622,0.636124450341497,0.33594624346412516
61,409,405,0.5655749078578052,0.6323951137513717,0.2786864759694559
62,409,283,0.5655749078578052,0.6398271856730411,0.31079494131093494
63,20,172,0.577713895732459,0.6453538654697708,0.285282607266388
64,20,310,0.577713895732459,0.6517773500044174,0.31346524232737505
65,187,305,0.5846183610619028,0.6562859076623798,0.30502479343219485
66,187,27,0.5846183610619028,0.6620208848599596,0.3305514489744829
67,282,332,0.5858833786714627,0.6523450304854487,0.282389959705345
68,282,102,0.5858833786714627,0.6593414345641246,0.3133876800723444
69,433,183,0.5923031414281855,0.6634919856745719,0.30540014682129146
70,433,97,0.5923031414281855,0.663805769903678,0.30680587027315376
71,74,124,0.5939871788408115,0.6599064324607922,0.2824042812030867
72,74,54,0.5939871788408115,0.6643684074317833,0.30234972197922716
73,182,2,0.6109372892698316,0.6732462638305856,0.27165061849189764
74,182,24,0.6109372892698316,0.682905775519472,0.3159041484986864
75,1,253,0.614000020006764,0.6652730298531192,0.22272469947137435
76,1,83,0.614000020006764,0.6863640938044813,0.3190178140980398
77,292,340,0.6349005266270444,0.7006405727151043,0.2970515816788827
78,292,132,0.6349005266270444,0.7076193871827258,0.3305514489744823
79,14,394,0.6471976609295838,0.7145176243163568,0.310683570453373
80,14,254,0.6471976609295838,0.720235304729342,0.33888529744862805
