pair_id,treated_row_index,control_row_index,treated_propensity_score,control_propensity_score,logit_distance
1,284,272,0.24564487665793777,0.2446571945510602,0.005337327461246488
2,109,329,0.27041084811492394,0.27296943136780955,0.012930399555890926
3,19,227,0.32925936022634433,0.3309384410029994,0.0075930720946446595
4,166,178,0.3804731951591286,0.38173207457560054,0.005337327461246377
5,71,5,0.404608496807604,0.41346556255787614,0.036642097647426486
6,112,110,0.41152753015382526,0.4107749381482941,0.0031085247460440613
7,176,286,0.42660481896139224,0.4295363965542951,0.011974156941235825
8,298,10,0.4308447168882748,0.4576279220843667,0.10850976285728875
9,223,13,0.4373488396585761,0.45985100417163965,0.09098620406906227
10,1,221,0.45852556294100666,0.46173759867654424,0.012930399555890953
11,22,218,0.4589529678677787,0.4595131550459289,0.002255744633398088
12,328,232,0.4597506574182763,0.46161147882679604,0.007489609592635088
13,230,88,0.46083902140719885,0.47514231771908505,0.05745263116767989
14,76,296,0.4738114635402717,0.477036242321882,0.01293039955589112
15,331,343,0.48663601667609585,0.4879694872639802,0.005337327461245267
16,20,8,0.505481628703787,0.5041474213479106,0.005337327461246728
17,130,142,0.5084745759251241,0.5098084609716442,0.005337327461246412
18,338,208,0.5103721674027858,0.5260475433507108,0.06278995862892667
19,133,121,0.510712076475455,0.5093782839691554,0.005337327461246655
20,350,170,0.5117058480703472,0.538222639300307,0.10635748072589804
21,341,67,0.5126093097731467,0.5164230275233282,0.01526781415482742
22,55,275,0.5150900215394494,0.5183190020355485,0.01293039955589121
23,74,172,0.5400835581733121,0.5389951366178323,0.004381084846592137
24,65,253,0.5409816136716219,0.5613523257400362,0.0823571876648069
25,128,140,0.5548749245227808,0.5561927952079329,0.005337327461245905
26,346,62,0.5572994907615981,0.5387575212041734,0.07486757807217181
27,271,283,0.5638215034144819,0.565133645283361,0.005337327461245711
28,187,175,0.5669733677601017,0.5656625106485889,0.005337327461246488
29,217,337,0.5741162762987776,0.6230379559347342,0.2037973500779856
30,82,278,0.5864705471046311,0.5870175097895565,0.00225574463339856
31,280,194,0.5877708986851521,0.5901236083672843,0.009718412307837931
32,290,70,0.5883108234223944,0.5851755286620446,0.012930399555891758
33,182,2,0.5888320094711312,0.6143172962787857,0.10635748072589857
34,292,224,0.5890635046119413,0.6181103875202568,0.12144016241317929
35,173,97,0.5897071896144748,0.6374461190318693,0.2015416054445882
36,185,305,0.5909979489028439,0.6391991051170439,0.20379735007798627
37,7,127,0.5928767523442985,0.6409909935797096,0.20379735007798605
38,119,335,0.5965121566771254,0.642736446032814,0.19630774048535088
39,38,202,0.6019227826628891,0.6348756236164174,0.1397078894303166
40,52,124,0.6039447554763003,0.662040891960988,0.250473396921003
41,260,332,0.6057595430014543,0.6637376909135889,0.2504733969210024
42,325,83,0.6217836015906941,0.6556023294306916,0.1466317807800246
43,190,310,0.6336374970329135,0.6795383550324706,0.20379735007798672
44,115,29,0.6397618375257137,0.6650178902605731,0.11140621321758815
45,95,59,0.6568064306050712,0.6684334048395582,0.05201337430426278
46,122,340,0.661345032138032,0.7044772380175752,0.19941626523139355
47,134,254,0.6625393901656412,0.706496476620505,0.20379735007798638
48,17,235,0.6638278533422034,0.6852765048070018,0.09772846432164362
49,344,308,0.6649278858993123,0.7187231758083731,0.25280412903837535
50,247,167,0.6864264802678405,0.7108607421585197,0.11610283495193263
51,56,32,0.6886558110922001,0.7411557067517652,0.25814145649962283
52,274,154,0.6907577975186925,0.744462920440872,0.2656310660922584
53,169,289,0.6931250406809515,0.7346934526076937,0.2037973500779855
54,355,89,0.7274900715031377,0.7684694532073005,0.21776369394348782
55,44,86,0.7421783219382801,0.7668726149165912,0.13341431935441528
56,77,197,0.7675184533020138,0.8018900016581731,0.20379735007798594
57,152,16,0.7782990423474817,0.8173747904710197,0.24288032482635868
58,163,43,0.7943883280929501,0.8344105733239198,0.2656310660922574
59,209,251,0.8027365364327558,0.8354570425920934,0.2213209088662118
60,131,281,0.8054966889976609,0.8394255032666925,0.2329498381327768
61,317,181,0.8322902414014687,0.863518552706783,0.2428803248263578
62,301,35,0.8858085122521464,0.904875131774056,0.20398248254553453
63,196,262,0.9017135960732554,0.913765229959938,0.14408897427690892
64,98,316,0.9021011921506292,0.918355385964131,0.19941626523139444
65,101,143,0.9028890590056866,0.9206394105749208,0.22132090886621159
