pair_id,treated_row_index,control_row_index,treated_propensity_score,control_propensity_score,logit_distance
1,19,36,0.09683940412238724,0.09172922405098177,0.05985511929936216
2,273,175,0.13358010371611173,0.13180313089580173,0.015440785972906657
3,249,242,0.15998219461977248,0.1560702239656235,0.02940266471800368
4,176,294,0.1645983102191024,0.17195270572055335,0.052553853388232596
5,65,280,0.20260160900593224,0.1989962265726321,0.022466911794294164
6,41,162,0.2388844702129577,0.2372726563464218,0.008885578426704788
7,138,239,0.27760297867272477,0.2824765684332818,0.024172919340110233
8,100,83,0.3622055590152705,0.37614364745748435,0.059855119299362824
9,6,48,0.36534885354505137,0.33587828881680076,0.12949376197776397
10,233,278,0.40743098002140454,0.42847249873973325,0.08650976389217174
11,187,202,0.47878343162700815,0.49912905064664753,0.08143346357378253
12,285,337,0.48263786369569817,0.5116069019319461,0.1159124286101775
13,3,254,0.5035308189757297,0.5280775876287878,0.0983051170027622
14,330,261,0.504258218385015,0.5353985029519714,0.12479800703688232
15,209,70,0.5064793532202853,0.5526712118399242,0.1855505390733722
16,55,313,0.5324632533428476,0.5640815677848535,0.12770778172076544
17,306,240,0.5568385167722829,0.5724121798540375,0.06335857522194563
18,77,129,0.5599285454074047,0.5882618290067018,0.11591242861017739
19,122,181,0.581122200076155,0.6160218833605656,0.14531509332818104
20,31,108,0.5845168892403761,0.6240214937348864,0.1653091250870275
21,292,226,0.6005151576820065,0.636268963488364,0.1515946285694303
22,46,327,0.6041476118005696,0.6418446827886686,0.16060243424158271
23,174,32,0.6090437064275248,0.6461247570692069,0.15875391754082607
24,53,105,0.6111573849135354,0.6807670676833253,0.3051193329475674
25,98,135,0.6315075332373218,0.44996064839238253,0.7395192955145723
26,268,56,0.6499728411639387,0.7947739323080265,0.7350257405303212
27,84,297,0.6721577706696187,0.8236839057561711,0.8235478663692486
28,303,251,0.6888369145443034,0.8378041919812705,0.8472927362781777
29,171,89,0.7683196944103746,0.8850415590259852,0.8422164359597866
30,95,43,0.7848644662559089,0.8948751543049751,0.8472927362781784
31,214,54,0.8330641648904101,0.9211764156030324,0.8509381691404976
32,315,27,0.9305312878791389,0.9684859444951353,0.8304210828491994
