pair_id,treated_row_index,control_row_index,treated_propensity_score,control_propensity_score,logit_distance
1,310,322,0.012813172681890526,0.013145365917283757,0.025932098828238992
2,95,121,0.0379720578386808,0.03773464840797033,0.006518590653131984
3,140,128,0.0808783095115136,0.0789714270613963,0.025932098828238992
4,185,147,0.14876374099335044,0.1463651581174675,0.019068635916018595
5,230,218,0.29189494660218396,0.286564049257439,0.02593209882823877
6,287,27,0.35507775517094353,0.39991680740458063,0.1909812087917067
7,256,268,0.4687817544814923,0.4752443760006886,0.025932098828237993
8,275,3,0.5088385269675315,0.5499347100066836,0.1650491099634705
9,53,237,0.5298625441945597,0.43154844806875936,0.39512881742792416
10,332,34,0.5510532357973524,0.5352976732966312,0.06350115783818885
11,15,301,0.556344414472141,0.6367086239228993,0.33476793063523025
12,244,282,0.6241299500911043,0.6416644107419008,0.07548036651191137
13,263,313,0.6322062629109594,0.642685473494047,0.045345607003341226
14,10,72,0.6786652538990144,0.5977041929537377,0.3517362902992895
15,41,79,0.6795584296164872,0.7432600419650218,0.3112389694848716
16,22,48,0.6842940982026855,0.8226484018247457,0.7608179978817281
17,339,67,0.7051618995770816,0.8448980061879028,0.8231319645491321
18,351,199,0.7105245743665212,0.42687687662640195,1.1925380686227687
19,98,306,0.7266564368564716,0.4940944841088202,1.0013474743571102
20,60,294,0.7365394331263495,0.4876137194413684,1.0776143311790267
21,117,261,0.7468818956600537,0.29281423947373314,1.9638058355154273
22,289,249,0.7673231924556821,0.28747336898877046,2.1009447481675747
