pair_id,treated_row_index,control_row_index,treated_propensity_score,control_propensity_score,logit_distance
1,57,64,0.3121686419261356,0.3133204133801034,0.005358691480468747
2,284,277,0.33624899329231617,0.3350540618783605,0.005358691480468636
3,19,216,0.3790427793203272,0.37847360536450675,0.002418924826322333
4,109,116,0.383186128987123,0.38445347022159876,0.005358691480468913
5,239,329,0.4039515924024541,0.40818823806991245,0.01756665578924793
6,336,58,0.4094833744841782,0.4124884631910316,0.01241384171731763
7,279,78,0.44817832736108065,0.4505588877502365,0.009620914802897867
8,90,291,0.4836427754077642,0.4812405174440659,0.009620914802898131
9,3,296,0.5010909119413405,0.49874038068201276,0.009402142620547855
10,330,8,0.51620739586326,0.51859100960527,0.009546032702758306
11,15,208,0.5342772047131921,0.5382417558460084,0.01594212947549184
12,112,221,0.5399768773979288,0.5432977658322353,0.013376364909443078
13,38,5,0.5405731378399179,0.544937204368516,0.017584962614014404
14,120,121,0.5453784459916734,0.549579092000668,0.016955574694035636
15,12,13,0.5462657330575127,0.5503290322313239,0.016406370830978928
16,258,135,0.5664143361481605,0.5664188320999701,1.8306824765002006e-05
17,225,232,0.5707278630260597,0.5720402288752496,0.005358691480468303
18,341,62,0.5753116982302248,0.5743359188804114,0.003992529113660104
19,271,240,0.5773021350813828,0.5773599870785764,0.00023707900711550378
20,55,70,0.5789141154067351,0.579648110012657,0.0030116990967707924
21,133,140,0.5822290870670833,0.5835319492756161,0.005358691480468636
22,290,275,0.6048978598701752,0.6041778475881038,0.0030116990967707924
23,182,283,0.6057529563030469,0.6093709164630671,0.015174153430083881
24,74,175,0.6064763387948694,0.6102225701124234,0.015723357293141005
25,190,67,0.6109386674542786,0.6109430188424382,1.8306824765446095e-05
26,82,253,0.611658634912174,0.6134556399772276,0.0075717388982528555
27,260,183,0.6147255596772854,0.615386818719663,0.0027929269144191804
28,273,45,0.6195360810488401,0.6201619316331479,0.0026560038334378366
29,165,83,0.620250028020082,0.6213676396974561,0.004747610385255119
30,280,172,0.6207983726576668,0.6215113980168187,0.003030005921535517
31,52,2,0.6214234156456694,0.6237162741699495,0.009757837883880016
32,173,72,0.6254916464483172,0.6274546363326557,0.008388697402003764
33,187,310,0.6413454205531647,0.6413412095794868,1.8306824765113028e-05
34,303,102,0.645643378603552,0.6478414316037328,0.00962091480289795
35,115,308,0.6579193993965536,0.6614982725176455,0.015942129475492117
36,242,335,0.6824845129924323,0.6810545522830306,0.0065909088813626004
37,119,305,0.682488480057168,0.6847774472490095,0.010583437995022926
38,134,235,0.6831407501105472,0.6865343774664747,0.015723357293140672
39,312,127,0.6859330129303562,0.6871860808251516,0.005822932835954475
40,34,97,0.6886011207408284,0.6908698911659347,0.010601744819788483
41,325,332,0.6903023645461601,0.6914468026540097,0.005358691480467526
42,217,224,0.6909497605974754,0.692092873456031,0.005358691480468525
43,104,27,0.692013167763019,0.6926081074709002,0.002792926914419569
44,117,340,0.696335378678541,0.6960708874019099,0.0012505242256592997
45,233,132,0.7002823179841784,0.7020400329997392,0.00838869740200443
46,17,24,0.7016676675528872,0.7027881896529067,0.005358691480468414
47,355,154,0.7137969797241426,0.7157583949924549,0.00962091480289795
48,247,337,0.7144155810068129,0.7179860944067488,0.01756665578924932
49,147,237,0.7195582488240951,0.7230893875743949,0.017566655789248542
50,66,167,0.7215707317561451,0.7247186234458013,0.01572335729314145
51,352,59,0.7234455537104892,0.7253227025153381,0.009402142620547616
52,353,29,0.7268250063648202,0.7287346876884242,0.009639221627663841
53,357,186,0.748338154367597,0.746909503163524,0.007571738898253466
54,287,86,0.7498702237294272,0.7516704278353962,0.009620914802898728
55,149,156,0.7536440861878959,0.754637653079574,0.005358691480467304
56,199,289,0.7783755958182943,0.7813911434333833,0.017566655789248875
57,219,297,0.7827804005733733,0.7850862535880105,0.013613443916558499
58,111,81,0.7832951669135805,0.7861992977349834,0.01719265370115064
59,107,197,0.7863956284730844,0.7893315858282731,0.017566655789248875
60,11,89,0.7875663061777948,0.789834995417815,0.013613443916558277
61,9,16,0.7981857540563174,0.7990475810824964,0.005358691480468636
62,339,354,0.8040613438602792,0.8045353926475127,0.0030116990967707924
63,150,351,0.8255563002449005,0.8241664199318335,0.00962091480289784
64,359,251,0.8272983079010077,0.8278090915128883,0.003579209784591475
65,259,43,0.8308894105879172,0.8318160561412405,0.006609215706127047
66,349,51,0.8333434127150555,0.8348389961133981,0.010807622228325542
67,191,281,0.8551981497737607,0.857359959333771,0.01756665578924821
68,91,181,0.8583084729609904,0.8604314254225333,0.017566655789249097
69,188,189,0.8610737042683265,0.863024727729025,0.016406370830977623
70,309,316,0.877672697786857,0.8782468613822704,0.005358691480468636
71,313,243,0.8891185518685514,0.8899196479849022,0.008151618394888871
72,42,143,0.8908586088236432,0.892378014766506,0.015723357293139895
73,321,35,0.891246195275293,0.892668669216907,0.01476083410101614
74,40,262,0.8991965955063584,0.9006195769800469,0.01579823939328051
