covariate,treated_mean_before,control_mean_before,smd_before,treated_mean_after,control_mean_after,smd_after,variance_ratio_after
age,60.4633431085044,52.64748201438849,0.529058078331906,52.11864406779661,54.54237288135593,-0.16406296031344858,1.0233413610543751
bmi,28.49126099706745,26.83798561151079,0.3113677267870397,26.87322033898305,27.14372881355932,-0.05094590383506113,0.8246432644557595
severity,4.263196480938417,3.039568345323741,0.5391678387826654,3.1091101694915255,3.347457627118644,-0.10502315194280919,0.8593939599171477
frailty,1.8196480938416422,1.579136690647482,0.2248969201796603,1.521186440677966,1.63135593220339,-0.10301706701958409,1.0864433811802232
renal,1.3509287390029325,1.2973618705035972,0.06016585704186996,1.3022644067796612,1.307908474576271,-0.006339369571130793,0.7323322351824089
diabetes,0.20821114369501467,0.17985611510791366,0.0715706478134112,0.1694915254237288,0.1694915254237288,0.0,0.9999999999999998
sex_M,0.5395894428152492,0.4028776978417266,0.2757849818641824,0.4576271186440678,0.4576271186440678,0.0,0.9999999999999999
site_B,0.2756598240469208,0.18705035971223022,0.21078883044034552,0.211864406779661,0.211864406779661,0.0,1.0000000000000002
site_C,0.22580645161290322,0.30935251798561153,-0.1890652354138797,0.2711864406779661,0.2711864406779661,0.0,0.9999999999999999
site_D,0.26392961876832843,0.2158273381294964,0.11255044687763635,0.2457627118644068,0.2457627118644068,0.0,0.9999999999999999
