pair_id,treated_row_index,control_row_index,treated_propensity_score,control_propensity_score,logit_distance
1,284,164,0.2674551636529017,0.27014122064462837,0.013666408468461233
2,57,277,0.30302072488961695,0.26861852545743803,0.16868845073653416
3,114,434,0.3183870205612186,0.31654294695993,0.008510565163188266
4,246,454,0.33990658698571874,0.3478873157180695,0.03537177045758211
5,336,324,0.34790298801860625,0.3231310119509678,0.11115021366179778
6,239,327,0.35549724095428803,0.3668107190997254,0.04903817892604334
7,447,227,0.36364236706554076,0.40350032731797447,0.16868845073653388
8,171,291,0.3735065674423345,0.44629332168672053,0.301544026387452
9,109,329,0.38849293225152803,0.34924705728226685,0.16869895775102878
10,168,396,0.40239670488304763,0.4183753338166882,0.06604233882230909
11,166,286,0.40567079755460833,0.4023800925198954,0.013666408468460955
12,298,142,0.42937353043767074,0.4364242691119925,0.028720732568224383
13,22,162,0.43978850399442865,0.467819477451651,0.11312017493735307
14,112,88,0.4485379841887163,0.44774510440094656,0.0032060075087686213
15,90,218,0.4518347451880049,0.4993502602111254,0.1906613357552749
16,438,62,0.4572825381034876,0.5065300716771246,0.1974091833047569
17,379,343,0.45844097911638954,0.5408200110323406,0.3302647589556756
18,176,180,0.4598968466610029,0.4606268274226876,0.0029384844791493225
19,60,296,0.46402401835442153,0.4565041359561012,0.030271301416071317
20,223,67,0.46557958716206715,0.551326416092477,0.34393116742413615
21,384,108,0.4686944645103591,0.4792621494616215,0.0423871410366848
22,12,448,0.4871134668837459,0.5124615585920738,0.10141410927989017
23,338,194,0.49593374737595963,0.5308621108059751,0.1398709462300214
24,76,8,0.49856865921302224,0.5179979769957255,0.07774840447977123
25,123,135,0.5042804645617666,0.5633555112858818,0.23766927403799135
26,382,378,0.5044053144542556,0.5352420369743767,0.12358057589704464
27,3,459,0.5076965632721122,0.567966284438781,0.24276974307950272
28,441,13,0.5139403204480556,0.5471353516609576,0.13332718729344678
29,328,208,0.5158754039187984,0.5229235249319192,0.028235458862259005
30,450,402,0.5165893742901674,0.539660840395814,0.09259548491768345
31,330,110,0.5200013886439477,0.5618655407030791,0.16868845073653413
32,52,416,0.5300834095818754,0.5317371960897544,0.006640530874863784
33,409,221,0.5332133624852695,0.5558816146140925,0.09141481294823264
34,433,121,0.5340112420841194,0.5937517162525683,0.24324135472203054
35,74,278,0.5342642082128048,0.5735192649768119,0.15895234635462643
36,258,478,0.5422583852863364,0.5783392937115205,0.14652198411937867
37,282,202,0.5430540534886794,0.588640199980425,0.18570311764729408
38,133,5,0.5437469828173358,0.5977481491326261,0.2206546071272305
39,468,348,0.5476579304467658,0.5510412360979561,0.013666408468461039
40,187,383,0.5479434964863041,0.6063001820678013,0.2394214846372023
41,466,10,0.5510241454302575,0.5995929302001436,0.19895975215260522
42,341,253,0.5525051632928668,0.617034620700292,0.26618276294436566
43,6,102,0.5535515388345111,0.6255958943508407,0.2983380188786826
44,346,170,0.5544027590034911,0.6335693106627833,0.32908408698622327
45,228,72,0.5544198250603921,0.5615033928810303,0.028720732568223745
46,225,97,0.5566069399416195,0.6237982135028451,0.2782986025649784
47,436,172,0.5631403180524106,0.6004772713583472,0.15353735469848273
48,15,283,0.5667142970661114,0.6168345515037932,0.20767600266603536
49,182,2,0.5811913214691554,0.6578712033143753,0.32615610952157015
50,63,183,0.5816649620212984,0.6527515363605965,0.30154402638745187
51,322,70,0.585327013993119,0.6687623260786603,0.3579120985072317
52,82,54,0.5919453686628066,0.6721475909046618,0.34590112869969236
53,128,240,0.5923206219572749,0.6121157157167908,0.08264723176991967
54,412,224,0.5939023630347038,0.6157472734895463,0.0914148129482319
55,130,254,0.5963074611529722,0.6764794216045493,0.347536441881561
56,1,461,0.5970439296670883,0.6253552876903887,0.11917866016796247
57,292,432,0.5971941838388594,0.6240813351197859,0.11312017493735271
